,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,"Sitting, Waiting, Wishing",Jack Johnson,spotify:track:1dnXuEuApvuVqQCn0v9McL,0.229,https://api.spotify.com/v1/audio-analysis/1dnXuEuApvuVqQCn0v9McL,0.766,183720,0.547,1dnXuEuApvuVqQCn0v9McL,1.5e-05,0,0.104,-7.25,1,0.0264,105.01,4,https://api.spotify.com/v1/tracks/1dnXuEuApvuVqQCn0v9McL,audio_features,0.556
1,Periscopes,The Beautiful Girls,spotify:track:1EgADk4jQoKdXcZPFTKg1u,0.0241,https://api.spotify.com/v1/audio-analysis/1EgADk4jQoKdXcZPFTKg1u,0.652,213320,0.788,1EgADk4jQoKdXcZPFTKg1u,2.04e-05,0,0.265,-6.607,1,0.0336,93.843,4,https://api.spotify.com/v1/tracks/1EgADk4jQoKdXcZPFTKg1u,audio_features,0.802
2,Space Cadet,Kyuss,spotify:track:07HF5tFmwh6ahN93JC6LmE,0.449,https://api.spotify.com/v1/audio-analysis/07HF5tFmwh6ahN93JC6LmE,0.461,422533,0.168,07HF5tFmwh6ahN93JC6LmE,0.886,11,0.267,-16.225,0,0.042,169.675,4,https://api.spotify.com/v1/tracks/07HF5tFmwh6ahN93JC6LmE,audio_features,0.309
3,Riders on the Storm,The Doors,spotify:track:14XWXWv5FoCbFzLksawpEe,0.25,https://api.spotify.com/v1/audio-analysis/14XWXWv5FoCbFzLksawpEe,0.549,434720,0.722,14XWXWv5FoCbFzLksawpEe,0.0138,11,0.11,-11.729,0,0.0283,103.885,4,https://api.spotify.com/v1/tracks/14XWXWv5FoCbFzLksawpEe,audio_features,0.716
4,Excuse Me Mr.,Ben Harper,spotify:track:1ZzWnWWLubofH7JxqXBzZ9,0.0965,https://api.spotify.com/v1/audio-analysis/1ZzWnWWLubofH7JxqXBzZ9,0.787,324200,0.427,1ZzWnWWLubofH7JxqXBzZ9,0.295,0,0.0932,-11.159,1,0.0471,152.497,4,https://api.spotify.com/v1/tracks/1ZzWnWWLubofH7JxqXBzZ9,audio_features,0.508
5,Morning Sun,The Beautiful Girls,spotify:track:7EbF4gSZiu6G6NDx5pHStP,0.0162,https://api.spotify.com/v1/audio-analysis/7EbF4gSZiu6G6NDx5pHStP,0.519,295267,0.728,7EbF4gSZiu6G6NDx5pHStP,0.00117,5,0.168,-7.16,0,0.0448,99.803,4,https://api.spotify.com/v1/tracks/7EbF4gSZiu6G6NDx5pHStP,audio_features,0.692
6,Learn Yourself,The Beautiful Girls,spotify:track:2mWK1Vx9imJ3DzWUfCCHWE,0.614,https://api.spotify.com/v1/audio-analysis/2mWK1Vx9imJ3DzWUfCCHWE,0.839,198267,0.381,2mWK1Vx9imJ3DzWUfCCHWE,0.316,7,0.108,-8.618,0,0.0302,97.852,4,https://api.spotify.com/v1/tracks/2mWK1Vx9imJ3DzWUfCCHWE,audio_features,0.59
7,Tô No Barato,Planta E Raiz,spotify:track:2nHNea7CYCVzQHmeO7hhsR,0.153,https://api.spotify.com/v1/audio-analysis/2nHNea7CYCVzQHmeO7hhsR,0.821,206800,0.811,2nHNea7CYCVzQHmeO7hhsR,0.0,8,0.0776,-5.182,0,0.0328,121.353,4,https://api.spotify.com/v1/tracks/2nHNea7CYCVzQHmeO7hhsR,audio_features,0.974
8,On A Clear Day,The Beautiful Girls,spotify:track:43t5MVOHh8xbuOimhFbIVv,0.00757,https://api.spotify.com/v1/audio-analysis/43t5MVOHh8xbuOimhFbIVv,0.417,381147,0.646,43t5MVOHh8xbuOimhFbIVv,0.00615,7,0.0809,-7.615,0,0.036,181.141,4,https://api.spotify.com/v1/tracks/43t5MVOHh8xbuOimhFbIVv,audio_features,0.527
9,Times Like These,Jack Johnson,spotify:track:4WM22pqXRZkcdrp7alhjsv,0.585,https://api.spotify.com/v1/audio-analysis/4WM22pqXRZkcdrp7alhjsv,0.825,141933,0.459,4WM22pqXRZkcdrp7alhjsv,0.0792,4,0.0876,-7.001,1,0.0955,142.928,4,https://api.spotify.com/v1/tracks/4WM22pqXRZkcdrp7alhjsv,audio_features,0.645
