,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,"An der schönen blauen Donau, Op.314",Johann Strauss II,spotify:track:0ES7wjiSraJ140uvRtQnON,0.974,https://api.spotify.com/v1/audio-analysis/0ES7wjiSraJ140uvRtQnON,0.278,579173,0.149,0ES7wjiSraJ140uvRtQnON,0.898,2,0.203,-16.253,1,0.0314,99.769,4,https://api.spotify.com/v1/tracks/0ES7wjiSraJ140uvRtQnON,audio_features,0.143
1,"Swan Lake, Op.20 Suite : 1. Scene - Swan Theme",Pyotr Ilyich Tchaikovsky,spotify:track:2PNcAYlwHLgnQfzJwPNXQ4,0.929,https://api.spotify.com/v1/audio-analysis/2PNcAYlwHLgnQfzJwPNXQ4,0.0955,184667,0.215,2PNcAYlwHLgnQfzJwPNXQ4,0.941,4,0.118,-15.743,0,0.0369,78.623,4,https://api.spotify.com/v1/tracks/2PNcAYlwHLgnQfzJwPNXQ4,audio_features,0.0604
2,"La traviata : ""Libiamo ne'lieti calici"" (Brindisi)",Giuseppe Verdi,spotify:track:1lG0kUYDlI5HuXYUv39h9i,0.959,https://api.spotify.com/v1/audio-analysis/1lG0kUYDlI5HuXYUv39h9i,0.396,169333,0.237,1lG0kUYDlI5HuXYUv39h9i,1.16e-06,10,0.36,-16.518,1,0.0619,110.858,1,https://api.spotify.com/v1/tracks/1lG0kUYDlI5HuXYUv39h9i,audio_features,0.255
3,"Nutcracker Suite, Op.71a : 3. Waltz of the Flowers",Pyotr Ilyich Tchaikovsky,spotify:track:4sQlRevbGmy7J7Mjl2yNJ6,0.929,https://api.spotify.com/v1/audio-analysis/4sQlRevbGmy7J7Mjl2yNJ6,0.18,359640,0.135,4sQlRevbGmy7J7Mjl2yNJ6,0.938,2,0.0714,-18.605,1,0.0358,92.865,1,https://api.spotify.com/v1/tracks/4sQlRevbGmy7J7Mjl2yNJ6,audio_features,0.0903
4,Canon and Gigue in D major: I. Canon,Johann Pachelbel,spotify:track:3PSdGCxSKqwm9pN4fQMatr,0.724,https://api.spotify.com/v1/audio-analysis/3PSdGCxSKqwm9pN4fQMatr,0.254,271760,0.143,3PSdGCxSKqwm9pN4fQMatr,8.52e-05,1,0.188,-18.52,1,0.041,107.053,4,https://api.spotify.com/v1/tracks/3PSdGCxSKqwm9pN4fQMatr,audio_features,0.227
5,"Schubert: Ave Maria, ""Ellens Gesang III"", D839",Franz Schubert,spotify:track:76xlBf0JjX2NhitDemHF3h,0.995,https://api.spotify.com/v1/audio-analysis/76xlBf0JjX2NhitDemHF3h,0.27,366107,0.176,76xlBf0JjX2NhitDemHF3h,0.0449,7,0.0849,-20.285,1,0.0551,177.406,4,https://api.spotify.com/v1/tracks/76xlBf0JjX2NhitDemHF3h,audio_features,0.0699
6,"I vow to thee, my country (Thaxted)",Gustav Holst,spotify:track:0gu6gxNiKM3UHbpTYihevi,0.827,https://api.spotify.com/v1/audio-analysis/0gu6gxNiKM3UHbpTYihevi,0.0969,153226,0.244,0gu6gxNiKM3UHbpTYihevi,0.992,0,0.0962,-21.183,1,0.0561,76.847,1,https://api.spotify.com/v1/tracks/0gu6gxNiKM3UHbpTYihevi,audio_features,0.0859
7,Main Title,James Horner,spotify:track:5SgO7ZvlJ9BOEVf9JV0H5G,0.8,https://api.spotify.com/v1/audio-analysis/5SgO7ZvlJ9BOEVf9JV0H5G,0.0838,170867,0.0164,5SgO7ZvlJ9BOEVf9JV0H5G,0.942,0,0.0847,-37.033,1,0.0504,168.828,3,https://api.spotify.com/v1/tracks/5SgO7ZvlJ9BOEVf9JV0H5G,audio_features,0.0375
8,"""Nessun dorma"" - Live",Giacomo Puccini,spotify:track:66k5L4zwpZem3KfPltFI7B,0.956,https://api.spotify.com/v1/audio-analysis/66k5L4zwpZem3KfPltFI7B,0.201,210160,0.494,66k5L4zwpZem3KfPltFI7B,0.00709,2,0.696,-10.568,1,0.0547,77.92,4,https://api.spotify.com/v1/tracks/66k5L4zwpZem3KfPltFI7B,audio_features,0.204
9,Una Mattina,Ludovico Einaudi,spotify:track:0Dkibk70FDp6t7eOZNemNQ,0.991,https://api.spotify.com/v1/audio-analysis/0Dkibk70FDp6t7eOZNemNQ,0.231,203800,0.0297,0Dkibk70FDp6t7eOZNemNQ,0.878,2,0.0742,-31.544,1,0.0579,131.413,4,https://api.spotify.com/v1/tracks/0Dkibk70FDp6t7eOZNemNQ,audio_features,0.07
