,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,Road Bound,Bob Wayne,spotify:track:3QdZG0UvEpVwFASFTPEU0z,0.566,https://api.spotify.com/v1/audio-analysis/3QdZG0UvEpVwFASFTPEU0z,0.748,186280,0.375,3QdZG0UvEpVwFASFTPEU0z,8.33e-06,7,0.327,-15.184,0,0.0345,128.445,4,https://api.spotify.com/v1/tracks/3QdZG0UvEpVwFASFTPEU0z,audio_features,0.787
1,Demon in My Head,Joe Buck Yourself,spotify:track:5G58fsWcZc1d6NY89D5yiq,0.375,https://api.spotify.com/v1/audio-analysis/5G58fsWcZc1d6NY89D5yiq,0.685,194176,0.891,5G58fsWcZc1d6NY89D5yiq,3.63e-06,0,0.391,-7.9,1,0.0393,120.668,4,https://api.spotify.com/v1/tracks/5G58fsWcZc1d6NY89D5yiq,audio_features,0.627
2,East Bound and Down,Jerry Reed,spotify:track:4ubYnxmt3qW3wZdqMZbqOh,0.369,https://api.spotify.com/v1/audio-analysis/4ubYnxmt3qW3wZdqMZbqOh,0.518,166733,0.913,4ubYnxmt3qW3wZdqMZbqOh,0.0,7,0.289,-10.616,1,0.0559,121.65,4,https://api.spotify.com/v1/tracks/4ubYnxmt3qW3wZdqMZbqOh,audio_features,0.774
3,Livin' On Pabst Blue Ribbon,Hellbound Glory,spotify:track:1Eli3veFgrTMvAKvfTTr7y,0.223,https://api.spotify.com/v1/audio-analysis/1Eli3veFgrTMvAKvfTTr7y,0.336,152625,0.723,1Eli3veFgrTMvAKvfTTr7y,0.0,7,0.231,-6.065,1,0.0832,185.539,4,https://api.spotify.com/v1/tracks/1Eli3veFgrTMvAKvfTTr7y,audio_features,0.933
4,Lucky Seven,Blackberry Smoke,spotify:track:23NLGeHFBmQiHVp320Z7ZI,0.408,https://api.spotify.com/v1/audio-analysis/23NLGeHFBmQiHVp320Z7ZI,0.61,257347,0.587,23NLGeHFBmQiHVp320Z7ZI,1.01e-06,7,0.124,-5.334,1,0.0305,96.855,4,https://api.spotify.com/v1/tracks/23NLGeHFBmQiHVp320Z7ZI,audio_features,0.465
5,Chug-A-Lug - Single Version,Roger Miller,spotify:track:3nJsiJCloBZafMl8KzxCF5,0.951,https://api.spotify.com/v1/audio-analysis/3nJsiJCloBZafMl8KzxCF5,0.608,124333,0.539,3nJsiJCloBZafMl8KzxCF5,0.000235,11,0.116,-10.712,1,0.0822,163.493,4,https://api.spotify.com/v1/tracks/3nJsiJCloBZafMl8KzxCF5,audio_features,0.916
6,Smoke & Wine,Hank Williams III,spotify:track:7iqBCowx1CGqC6SwzrwaiM,0.0697,https://api.spotify.com/v1/audio-analysis/7iqBCowx1CGqC6SwzrwaiM,0.541,156160,0.978,7iqBCowx1CGqC6SwzrwaiM,0.000443,2,0.207,-3.075,1,0.0475,150.968,4,https://api.spotify.com/v1/tracks/7iqBCowx1CGqC6SwzrwaiM,audio_features,0.921
7,'Til The Lights Go Out,Hellbound Glory,spotify:track:3tAAvMtjGQCL6dmCIRd9Mz,0.534,https://api.spotify.com/v1/audio-analysis/3tAAvMtjGQCL6dmCIRd9Mz,0.585,158120,0.77,3tAAvMtjGQCL6dmCIRd9Mz,0.000151,0,0.191,-4.828,1,0.0415,120.042,4,https://api.spotify.com/v1/tracks/3tAAvMtjGQCL6dmCIRd9Mz,audio_features,0.785
8,Gettin' High and Hittin' New Lows,Hellbound Glory,spotify:track:75LN2OhWzwlEVlpWgtHld2,0.03,https://api.spotify.com/v1/audio-analysis/75LN2OhWzwlEVlpWgtHld2,0.445,169267,0.949,75LN2OhWzwlEVlpWgtHld2,0.000201,5,0.287,-3.795,1,0.0521,155.671,4,https://api.spotify.com/v1/tracks/75LN2OhWzwlEVlpWgtHld2,audio_features,0.918
9,Hello Five O,Hellbound Glory,spotify:track:3Dnx6vkO2IjkX6BKDy0eI5,0.254,https://api.spotify.com/v1/audio-analysis/3Dnx6vkO2IjkX6BKDy0eI5,0.391,149093,0.949,3Dnx6vkO2IjkX6BKDy0eI5,2.1e-06,2,0.14,-3.523,1,0.0738,203.28,4,https://api.spotify.com/v1/tracks/3Dnx6vkO2IjkX6BKDy0eI5,audio_features,0.869
10,Outlaws Ain't Wanted Anymore,Jackson Taylor & the Sinners,spotify:track:4hb60p9h4jAV9f320mbJIV,0.0718,https://api.spotify.com/v1/audio-analysis/4hb60p9h4jAV9f320mbJIV,0.629,214013,0.821,4hb60p9h4jAV9f320mbJIV,0.0,7,0.305,-4.515,1,0.044,117.401,4,https://api.spotify.com/v1/tracks/4hb60p9h4jAV9f320mbJIV,audio_features,0.905
11,Modern Day Joad,Jackson Taylor & the Sinners,spotify:track:1XLt39n9wgIIQmaTDnebld,0.148,https://api.spotify.com/v1/audio-analysis/1XLt39n9wgIIQmaTDnebld,0.637,177907,0.888,1XLt39n9wgIIQmaTDnebld,0.0,2,0.0788,-3.656,1,0.047,113.412,4,https://api.spotify.com/v1/tracks/1XLt39n9wgIIQmaTDnebld,audio_features,0.729
12,Blessed Be the Bad Ones,Dallas Moore,spotify:track:1csNykeAVWcTfb0lRx4Bjy,0.0223,https://api.spotify.com/v1/audio-analysis/1csNykeAVWcTfb0lRx4Bjy,0.337,250787,0.568,1csNykeAVWcTfb0lRx4Bjy,4.18e-06,7,0.145,-5.863,1,0.0367,76.341,4,https://api.spotify.com/v1/tracks/1csNykeAVWcTfb0lRx4Bjy,audio_features,0.326
13,Hard Scratch Pride,Whitey Morgan and the 78's,spotify:track:176SgoaLdDEensF0OHM0ci,0.193,https://api.spotify.com/v1/audio-analysis/176SgoaLdDEensF0OHM0ci,0.659,299760,0.714,176SgoaLdDEensF0OHM0ci,0.0218,0,0.356,-6.009,1,0.0254,94.022,4,https://api.spotify.com/v1/tracks/176SgoaLdDEensF0OHM0ci,audio_features,0.444
14,Me and the Whiskey,Whitey Morgan and the 78's,spotify:track:6Bvh8a4YhNyqsafMVYlRrd,0.000347,https://api.spotify.com/v1/audio-analysis/6Bvh8a4YhNyqsafMVYlRrd,0.39,272074,0.828,6Bvh8a4YhNyqsafMVYlRrd,0.144,2,0.128,-5.453,1,0.0284,81.861,4,https://api.spotify.com/v1/tracks/6Bvh8a4YhNyqsafMVYlRrd,audio_features,0.554
15,I'm on Fire,Whitey Morgan and the 78's,spotify:track:295PtgpB1Cx03atsL6vicT,0.0942,https://api.spotify.com/v1/audio-analysis/295PtgpB1Cx03atsL6vicT,0.564,196680,0.629,295PtgpB1Cx03atsL6vicT,0.387,9,0.192,-7.277,1,0.0272,93.969,4,https://api.spotify.com/v1/tracks/295PtgpB1Cx03atsL6vicT,audio_features,0.346
16,Bad News,Whitey Morgan and the 78's,spotify:track:0FkCbt8AiKnj7HRrS2R2Hi,0.0614,https://api.spotify.com/v1/audio-analysis/0FkCbt8AiKnj7HRrS2R2Hi,0.673,317507,0.658,0FkCbt8AiKnj7HRrS2R2Hi,0.00851,2,0.0741,-7.101,1,0.0266,87.528,4,https://api.spotify.com/v1/tracks/0FkCbt8AiKnj7HRrS2R2Hi,audio_features,0.494
17,Buick City,Whitey Morgan and the 78's,spotify:track:4U2RbVyvPTr2HBputYrqot,0.0642,https://api.spotify.com/v1/audio-analysis/4U2RbVyvPTr2HBputYrqot,0.675,191840,0.914,4U2RbVyvPTr2HBputYrqot,0.00405,7,0.0197,-5.424,1,0.0543,127.913,4,https://api.spotify.com/v1/tracks/4U2RbVyvPTr2HBputYrqot,audio_features,0.806
18,I Ain't Drunk,Whitey Morgan and the 78's,spotify:track:4Nd59WapL33xCNlxW7pEzQ,0.203,https://api.spotify.com/v1/audio-analysis/4Nd59WapL33xCNlxW7pEzQ,0.704,180080,0.699,4Nd59WapL33xCNlxW7pEzQ,3.54e-05,1,0.0838,-6.497,0,0.0464,140.12,4,https://api.spotify.com/v1/tracks/4Nd59WapL33xCNlxW7pEzQ,audio_features,0.818
