,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,Let Her Go,Passenger,spotify:track:4zTa4w2IK9VxftxJL3RmvJ,0.383,https://api.spotify.com/v1/audio-analysis/4zTa4w2IK9VxftxJL3RmvJ,0.484,250867,0.523,4zTa4w2IK9VxftxJL3RmvJ,0.0,7,0.0855,-8.372,1,0.0659,74.514,4,https://api.spotify.com/v1/tracks/4zTa4w2IK9VxftxJL3RmvJ,audio_features,0.238
1,The Nights,Avicii,spotify:track:1v6njmX9ipUisj8AnqbcBy,0.0166,https://api.spotify.com/v1/audio-analysis/1v6njmX9ipUisj8AnqbcBy,0.527,176658,0.835,1v6njmX9ipUisj8AnqbcBy,0.0,6,0.249,-5.298,1,0.0433,125.983,4,https://api.spotify.com/v1/tracks/1v6njmX9ipUisj8AnqbcBy,audio_features,0.654
2,Summer,Calvin Harris,spotify:track:6YUTL4dYpB9xZO5qExPf05,0.0211,https://api.spotify.com/v1/audio-analysis/6YUTL4dYpB9xZO5qExPf05,0.596,222533,0.856,6YUTL4dYpB9xZO5qExPf05,0.0178,4,0.141,-3.556,0,0.0346,127.949,4,https://api.spotify.com/v1/tracks/6YUTL4dYpB9xZO5qExPf05,audio_features,0.743
3,Shut Up and Dance,WALK THE MOON,spotify:track:1K66si1ZELsRZzg7m7mcps,0.00607,https://api.spotify.com/v1/audio-analysis/1K66si1ZELsRZzg7m7mcps,0.579,197720,0.88,1K66si1ZELsRZzg7m7mcps,1.16e-06,1,0.268,-3.154,1,0.0633,128.047,4,https://api.spotify.com/v1/tracks/1K66si1ZELsRZzg7m7mcps,audio_features,0.632
4,Cool Kids,Echosmith,spotify:track:13P5rwmk2EsoFRIz9UCeh9,0.0372,https://api.spotify.com/v1/audio-analysis/13P5rwmk2EsoFRIz9UCeh9,0.719,237627,0.671,13P5rwmk2EsoFRIz9UCeh9,8.21e-06,8,0.12,-6.279,1,0.0336,130.027,4,https://api.spotify.com/v1/tracks/13P5rwmk2EsoFRIz9UCeh9,audio_features,0.786
5,Midnight City,M83,spotify:track:6GyFP1nfCDB8lbD2bG0Hq9,0.0182,https://api.spotify.com/v1/audio-analysis/6GyFP1nfCDB8lbD2bG0Hq9,0.507,243960,0.729,6GyFP1nfCDB8lbD2bG0Hq9,1.4e-06,11,0.0658,-5.399,0,0.0393,105.013,4,https://api.spotify.com/v1/tracks/6GyFP1nfCDB8lbD2bG0Hq9,audio_features,0.272
6,Sail,AWOLNATION,spotify:track:5xhQChGGhKLWqBqX4XhtYE,0.452,https://api.spotify.com/v1/audio-analysis/5xhQChGGhKLWqBqX4XhtYE,0.825,259102,0.435,5xhQChGGhKLWqBqX4XhtYE,0.609,1,0.0953,-9.582,1,0.0568,119.038,4,https://api.spotify.com/v1/tracks/5xhQChGGhKLWqBqX4XhtYE,audio_features,0.243
7,Lush Life,Zara Larsson,spotify:track:0r4SsYcwvd8URat6AS2m6f,0.133,https://api.spotify.com/v1/audio-analysis/0r4SsYcwvd8URat6AS2m6f,0.694,201122,0.712,0r4SsYcwvd8URat6AS2m6f,0.0,7,0.211,-3.923,0,0.046,98.022,4,https://api.spotify.com/v1/tracks/0r4SsYcwvd8URat6AS2m6f,audio_features,0.799
8,Fast Car,Jonas Blue,spotify:track:6OZh916QF8XNunWaP97WEZ,0.453,https://api.spotify.com/v1/audio-analysis/6OZh916QF8XNunWaP97WEZ,0.459,212424,0.587,6OZh916QF8XNunWaP97WEZ,0.0,9,0.307,-6.983,1,0.0785,113.901,4,https://api.spotify.com/v1/tracks/6OZh916QF8XNunWaP97WEZ,audio_features,0.581
9,Never Forget You,MNEK,spotify:track:2I5Z2JIIQX9d5XCOLDk8wx,0.00312,https://api.spotify.com/v1/audio-analysis/2I5Z2JIIQX9d5XCOLDk8wx,0.583,213428,0.732,2I5Z2JIIQX9d5XCOLDk8wx,9.86e-06,11,0.269,-5.728,0,0.0457,145.992,4,https://api.spotify.com/v1/tracks/2I5Z2JIIQX9d5XCOLDk8wx,audio_features,0.276
