,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,Her,Musiq Soulchild,spotify:track:3qKAv5hy3Ur1nuFjUlx3bm,0.0977,https://api.spotify.com/v1/audio-analysis/3qKAv5hy3Ur1nuFjUlx3bm,0.683,229707,0.628,3qKAv5hy3Ur1nuFjUlx3bm,0.0,1,0.0951,-5.981,1,0.0437,99.732,4,https://api.spotify.com/v1/tracks/3qKAv5hy3Ur1nuFjUlx3bm,audio_features,0.573
1,Dime Piece feat. Dwele,J Dilla,spotify:track:667nZ8iFUEv0YgZAccauy5,0.0804,https://api.spotify.com/v1/audio-analysis/667nZ8iFUEv0YgZAccauy5,0.722,195280,0.363,667nZ8iFUEv0YgZAccauy5,3.24e-06,1,0.231,-7.727,1,0.136,86.851,4,https://api.spotify.com/v1/tracks/667nZ8iFUEv0YgZAccauy5,audio_features,0.709
2,Floatin,Stacy Epps,spotify:track:6ZLytwUBMhrOmdaRR7m1gx,0.292,https://api.spotify.com/v1/audio-analysis/6ZLytwUBMhrOmdaRR7m1gx,0.644,254293,0.813,6ZLytwUBMhrOmdaRR7m1gx,1.46e-05,11,0.681,-5.29,0,0.274,93.057,4,https://api.spotify.com/v1/tracks/6ZLytwUBMhrOmdaRR7m1gx,audio_features,0.582
3,Thieves In The Night,Black Star,spotify:track:7tx1TUJrT6qxXFXAELqbev,0.147,https://api.spotify.com/v1/audio-analysis/7tx1TUJrT6qxXFXAELqbev,0.816,311960,0.597,7tx1TUJrT6qxXFXAELqbev,0.0,1,0.138,-6.407,1,0.281,92.04,4,https://api.spotify.com/v1/tracks/7tx1TUJrT6qxXFXAELqbev,audio_features,0.558
4,UMI Says,Mos Def,spotify:track:5Ru9OjtEw5htfnVKpYsIcv,0.305,https://api.spotify.com/v1/audio-analysis/5Ru9OjtEw5htfnVKpYsIcv,0.72,305280,0.67,5Ru9OjtEw5htfnVKpYsIcv,0.0,2,0.0928,-10.224,1,0.132,121.342,4,https://api.spotify.com/v1/tracks/5Ru9OjtEw5htfnVKpYsIcv,audio_features,0.566
5,Ms. Fat Booty,Mos Def,spotify:track:0IVAlb0cFCH1cQ974iR1TU,0.148,https://api.spotify.com/v1/audio-analysis/0IVAlb0cFCH1cQ974iR1TU,0.782,223547,0.589,0IVAlb0cFCH1cQ974iR1TU,0.0,1,0.164,-4.827,1,0.189,90.438,4,https://api.spotify.com/v1/tracks/0IVAlb0cFCH1cQ974iR1TU,audio_features,0.869
6,I Wanna Be Where You Are,Michael Jackson,spotify:track:3mnVgyzn5HC7Sqkn3B5zHs,0.469,https://api.spotify.com/v1/audio-analysis/3mnVgyzn5HC7Sqkn3B5zHs,0.605,182787,0.843,3mnVgyzn5HC7Sqkn3B5zHs,0.00235,4,0.118,-8.546,0,0.0604,103.817,4,https://api.spotify.com/v1/tracks/3mnVgyzn5HC7Sqkn3B5zHs,audio_features,0.662
7,Grip,Tessa Thompson,spotify:track:7ibJeV7jOxnDXWVcP8rwx2,0.658,https://api.spotify.com/v1/audio-analysis/7ibJeV7jOxnDXWVcP8rwx2,0.66,116080,0.338,7ibJeV7jOxnDXWVcP8rwx2,0.891,1,0.101,-16.442,1,0.0697,147.962,4,https://api.spotify.com/v1/tracks/7ibJeV7jOxnDXWVcP8rwx2,audio_features,0.0393
8,Poetic Justice,Kendrick Lamar,spotify:track:2P3SLxeQHPqh8qKB6gtJY2,0.157,https://api.spotify.com/v1/audio-analysis/2P3SLxeQHPqh8qKB6gtJY2,0.779,300160,0.572,2P3SLxeQHPqh8qKB6gtJY2,0.0,6,0.246,-9.985,0,0.378,135.956,4,https://api.spotify.com/v1/tracks/2P3SLxeQHPqh8qKB6gtJY2,audio_features,0.647
9,What's Happening Brother,Marvin Gaye,spotify:track:4uhtjwPj8GX2d9hECQ7elY,0.552,https://api.spotify.com/v1/audio-analysis/4uhtjwPj8GX2d9hECQ7elY,0.465,164253,0.688,4uhtjwPj8GX2d9hECQ7elY,0.196,5,0.247,-10.705,0,0.0378,98.178,4,https://api.spotify.com/v1/tracks/4uhtjwPj8GX2d9hECQ7elY,audio_features,0.752
