,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,History,88rising,spotify:track:4TwVtW8hS5LyLoDtJGpUOg,0.613,https://api.spotify.com/v1/audio-analysis/4TwVtW8hS5LyLoDtJGpUOg,0.554,207308,0.589,4TwVtW8hS5LyLoDtJGpUOg,0.000257,3,0.0982,-8.163,0,0.231,74.982,4,https://api.spotify.com/v1/tracks/4TwVtW8hS5LyLoDtJGpUOg,audio_features,0.414
1,Peach Jam,88rising,spotify:track:6dktyiCWz2JYGmcPQ5D5dY,0.0175,https://api.spotify.com/v1/audio-analysis/6dktyiCWz2JYGmcPQ5D5dY,0.857,161713,0.668,6dktyiCWz2JYGmcPQ5D5dY,0.000595,7,0.101,-6.816,1,0.052,89.986,4,https://api.spotify.com/v1/tracks/6dktyiCWz2JYGmcPQ5D5dY,audio_features,0.624
2,All The Small Things,blink-182,spotify:track:2m1hi0nfMR9vdGC8UcrnwU,0.0103,https://api.spotify.com/v1/audio-analysis/2m1hi0nfMR9vdGC8UcrnwU,0.434,167067,0.897,2m1hi0nfMR9vdGC8UcrnwU,0.0,0,0.612,-4.918,1,0.0488,148.726,4,https://api.spotify.com/v1/tracks/2m1hi0nfMR9vdGC8UcrnwU,audio_features,0.684
3,First Date,blink-182,spotify:track:1fJFuvU2ldmeAm5nFIHcPP,0.000715,https://api.spotify.com/v1/audio-analysis/1fJFuvU2ldmeAm5nFIHcPP,0.579,171533,0.928,1fJFuvU2ldmeAm5nFIHcPP,0.0,0,0.18,-4.344,1,0.0411,95.594,4,https://api.spotify.com/v1/tracks/1fJFuvU2ldmeAm5nFIHcPP,audio_features,0.882
4,In Too Deep,Sum 41,spotify:track:1HNE2PX70ztbEl6MLxrpNL,0.000189,https://api.spotify.com/v1/audio-analysis/1HNE2PX70ztbEl6MLxrpNL,0.568,207093,0.844,1HNE2PX70ztbEl6MLxrpNL,0.0,9,0.0607,-5.875,1,0.0505,116.046,4,https://api.spotify.com/v1/tracks/1HNE2PX70ztbEl6MLxrpNL,audio_features,0.766
5,Basket Case,Green Day,spotify:track:6L89mwZXSOwYl76YXfX13s,0.00293,https://api.spotify.com/v1/audio-analysis/6L89mwZXSOwYl76YXfX13s,0.442,181533,0.943,6L89mwZXSOwYl76YXfX13s,8.71e-06,3,0.091,-3.205,1,0.0602,85.064,4,https://api.spotify.com/v1/tracks/6L89mwZXSOwYl76YXfX13s,audio_features,0.781
6,Californication,Red Hot Chili Peppers,spotify:track:48UPSzbZjgc449aqz8bxox,0.0021,https://api.spotify.com/v1/audio-analysis/48UPSzbZjgc449aqz8bxox,0.592,329733,0.767,48UPSzbZjgc449aqz8bxox,0.00165,9,0.127,-2.788,0,0.027,96.483,4,https://api.spotify.com/v1/tracks/48UPSzbZjgc449aqz8bxox,audio_features,0.328
7,Dirty Little Secret,The All-American Rejects,spotify:track:5lDriBxJd22IhOH9zTcFrV,0.000346,https://api.spotify.com/v1/audio-analysis/5lDriBxJd22IhOH9zTcFrV,0.465,193653,0.954,5lDriBxJd22IhOH9zTcFrV,5.38e-06,10,0.573,-4.251,1,0.044,143.85,4,https://api.spotify.com/v1/tracks/5lDriBxJd22IhOH9zTcFrV,audio_features,0.458
8,Move Along,The All-American Rejects,spotify:track:2l57cfmCnOkwNX1tky02n1,0.000148,https://api.spotify.com/v1/audio-analysis/2l57cfmCnOkwNX1tky02n1,0.518,238880,0.916,2l57cfmCnOkwNX1tky02n1,0.0,3,0.291,-3.858,1,0.0454,109.864,4,https://api.spotify.com/v1/tracks/2l57cfmCnOkwNX1tky02n1,audio_features,0.646
9,Gives You Hell,The All-American Rejects,spotify:track:6ihL9TjfRjadfEePzXXyVF,0.0159,https://api.spotify.com/v1/audio-analysis/6ihL9TjfRjadfEePzXXyVF,0.718,213107,0.691,6ihL9TjfRjadfEePzXXyVF,0.0,4,0.0627,-6.44,1,0.0387,100.008,4,https://api.spotify.com/v1/tracks/6ihL9TjfRjadfEePzXXyVF,audio_features,0.552
