,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,Cosmic Dark,Pitchback,spotify:track:5lLiVVtap1z4PoeWe6mNMG,0.00153,https://api.spotify.com/v1/audio-analysis/5lLiVVtap1z4PoeWe6mNMG,0.512,195692,0.915,5lLiVVtap1z4PoeWe6mNMG,0.0164,11,0.523,-5.377,0,0.136,130.05,4,https://api.spotify.com/v1/tracks/5lLiVVtap1z4PoeWe6mNMG,audio_features,0.288
1,WKND - Edit,Max Enforcer,spotify:track:719pz4OloEDeM0axqttdZP,0.0169,https://api.spotify.com/v1/audio-analysis/719pz4OloEDeM0axqttdZP,0.462,240000,0.938,719pz4OloEDeM0axqttdZP,1.31e-05,7,0.362,-3.799,1,0.055,149.932,4,https://api.spotify.com/v1/tracks/719pz4OloEDeM0axqttdZP,audio_features,0.239
2,Magical,Sound Rush,spotify:track:648pJwgAzK8gfFuuwR8I0b,0.0371,https://api.spotify.com/v1/audio-analysis/648pJwgAzK8gfFuuwR8I0b,0.465,173638,0.899,648pJwgAzK8gfFuuwR8I0b,0.278,8,0.0977,-5.854,1,0.0466,149.943,4,https://api.spotify.com/v1/tracks/648pJwgAzK8gfFuuwR8I0b,audio_features,0.123
3,Be Here Now,Brennan Heart,spotify:track:5Yldt1EiD9XTfZPMLfIW86,0.203,https://api.spotify.com/v1/audio-analysis/5Yldt1EiD9XTfZPMLfIW86,0.557,233600,0.703,5Yldt1EiD9XTfZPMLfIW86,0.000156,8,0.0927,-2.062,0,0.0277,150.037,4,https://api.spotify.com/v1/tracks/5Yldt1EiD9XTfZPMLfIW86,audio_features,0.228
4,Circus Circus - Radio Edit,Angerfist,spotify:track:0NKm4lruTqN714pOVgtdaW,0.0762,https://api.spotify.com/v1/audio-analysis/0NKm4lruTqN714pOVgtdaW,0.478,170994,0.891,0NKm4lruTqN714pOVgtdaW,0.259,6,0.363,-3.636,0,0.164,170.144,4,https://api.spotify.com/v1/tracks/0NKm4lruTqN714pOVgtdaW,audio_features,0.49
5,Don't Let Me Down (feat. Daya) - Hardwell & Sephyx Remix,The Chainsmokers,spotify:track:1JI70l1lE5IF2tgJm5TnMD,0.0861,https://api.spotify.com/v1/audio-analysis/1JI70l1lE5IF2tgJm5TnMD,0.509,162440,0.897,1JI70l1lE5IF2tgJm5TnMD,0.000634,8,0.0625,-3.418,0,0.0454,149.864,4,https://api.spotify.com/v1/tracks/1JI70l1lE5IF2tgJm5TnMD,audio_features,0.283
6,Lies or Truth - Hardbass Edit,Brennan Heart,spotify:track:14gvJ0EL8rQHtIONJ4hkXj,0.00839,https://api.spotify.com/v1/audio-analysis/14gvJ0EL8rQHtIONJ4hkXj,0.472,211787,0.778,14gvJ0EL8rQHtIONJ4hkXj,6.51e-05,1,0.792,-4.077,1,0.0322,148.094,4,https://api.spotify.com/v1/tracks/14gvJ0EL8rQHtIONJ4hkXj,audio_features,0.266
7,Flash - Radio Edit,Tuneboy,spotify:track:6pIyS7jA15Ugsp2xD1TlNV,0.000207,https://api.spotify.com/v1/audio-analysis/6pIyS7jA15Ugsp2xD1TlNV,0.433,89957,0.95,6pIyS7jA15Ugsp2xD1TlNV,0.62,11,0.312,-3.043,0,0.0538,150.009,4,https://api.spotify.com/v1/tracks/6pIyS7jA15Ugsp2xD1TlNV,audio_features,0.0419
8,Dark Universe - Radio Edit,Adaro,spotify:track:30NHAvbE2niZ5CyIWgUk4b,0.322,https://api.spotify.com/v1/audio-analysis/30NHAvbE2niZ5CyIWgUk4b,0.372,304089,0.877,30NHAvbE2niZ5CyIWgUk4b,0.013,7,0.0603,-3.709,1,0.118,150.261,4,https://api.spotify.com/v1/tracks/30NHAvbE2niZ5CyIWgUk4b,audio_features,0.0355
9,From Beyond,Sylence,spotify:track:2nhV4uHjqLA0K3KAzAz7w1,0.0359,https://api.spotify.com/v1/audio-analysis/2nhV4uHjqLA0K3KAzAz7w1,0.401,278710,0.886,2nhV4uHjqLA0K3KAzAz7w1,0.919,5,0.105,-5.242,1,0.0391,154.961,4,https://api.spotify.com/v1/tracks/2nhV4uHjqLA0K3KAzAz7w1,audio_features,0.349
10,Kingdom Of Fire (New Horizons 2019 Anthem) - Averro Remix,Cuebrick,spotify:track:0yNJdMjlUPqDya2ALP9V0q,0.0125,https://api.spotify.com/v1/audio-analysis/0yNJdMjlUPqDya2ALP9V0q,0.468,172039,0.859,0yNJdMjlUPqDya2ALP9V0q,5.24e-06,0,0.31,-5.841,0,0.0844,150.002,4,https://api.spotify.com/v1/tracks/0yNJdMjlUPqDya2ALP9V0q,audio_features,0.327
