,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,Deep Jungle Walk,Astrix,spotify:track:3vsf3xCBOptI3TwSsTeLfR,0.000656,https://api.spotify.com/v1/audio-analysis/3vsf3xCBOptI3TwSsTeLfR,0.618,555705,0.885,3vsf3xCBOptI3TwSsTeLfR,0.502,6,0.37,-8.347,0,0.0453,138.029,4,https://api.spotify.com/v1/tracks/3vsf3xCBOptI3TwSsTeLfR,audio_features,0.105
1,Zoombai - Tronsho Remix,Painkiller,spotify:track:7gBUFwlY5x4CqNlCeeSrkW,0.0147,https://api.spotify.com/v1/audio-analysis/7gBUFwlY5x4CqNlCeeSrkW,0.502,436364,0.967,7gBUFwlY5x4CqNlCeeSrkW,0.883,6,0.0994,-6.58,0,0.0894,142.999,4,https://api.spotify.com/v1/tracks/7gBUFwlY5x4CqNlCeeSrkW,audio_features,0.08
2,Monks,Berg,spotify:track:148KyQbBQnbJkx1uCki02A,0.00228,https://api.spotify.com/v1/audio-analysis/148KyQbBQnbJkx1uCki02A,0.644,377391,0.899,148KyQbBQnbJkx1uCki02A,0.8,1,0.217,-6.888,1,0.0514,138.033,4,https://api.spotify.com/v1/tracks/148KyQbBQnbJkx1uCki02A,audio_features,0.225
3,Zero Gravity,Porat,spotify:track:7MrsmQ7rjL29Bkm3oss987,0.0469,https://api.spotify.com/v1/audio-analysis/7MrsmQ7rjL29Bkm3oss987,0.652,475421,0.87,7MrsmQ7rjL29Bkm3oss987,0.832,7,0.155,-6.764,1,0.0463,143.008,4,https://api.spotify.com/v1/tracks/7MrsmQ7rjL29Bkm3oss987,audio_features,0.436
4,The Chant,Berg,spotify:track:4o5qNxBMh54wvmPNVxZiag,0.00683,https://api.spotify.com/v1/audio-analysis/4o5qNxBMh54wvmPNVxZiag,0.379,356522,0.958,4o5qNxBMh54wvmPNVxZiag,0.797,6,0.0987,-5.576,0,0.102,137.898,4,https://api.spotify.com/v1/tracks/4o5qNxBMh54wvmPNVxZiag,audio_features,0.107
5,Burning Stones,Astrix,spotify:track:74Nnf32YizMIv7pVGkg2NU,0.00181,https://api.spotify.com/v1/audio-analysis/74Nnf32YizMIv7pVGkg2NU,0.653,488696,0.896,74Nnf32YizMIv7pVGkg2NU,0.842,10,0.326,-8.211,1,0.0577,137.986,4,https://api.spotify.com/v1/tracks/74Nnf32YizMIv7pVGkg2NU,audio_features,0.122
6,Organic,Berg,spotify:track:1guRSzYTioLu9Dw8yIsgq4,0.018,https://api.spotify.com/v1/audio-analysis/1guRSzYTioLu9Dw8yIsgq4,0.716,413043,0.72,1guRSzYTioLu9Dw8yIsgq4,0.838,9,0.165,-7.166,1,0.116,138.057,4,https://api.spotify.com/v1/tracks/1guRSzYTioLu9Dw8yIsgq4,audio_features,0.199
7,Metalic Taste - Atomic Pulse Remix,S.U.N. Project,spotify:track:2js71Rf05EKUWShxj3h95o,0.00935,https://api.spotify.com/v1/audio-analysis/2js71Rf05EKUWShxj3h95o,0.626,465560,0.85,2js71Rf05EKUWShxj3h95o,0.899,9,0.326,-8.646,1,0.053,144.003,4,https://api.spotify.com/v1/tracks/2js71Rf05EKUWShxj3h95o,audio_features,0.194
8,Going Back - Module Virus Remix,Ace Ventura,spotify:track:0HojdnGegTDoXN6UP8PNde,0.000745,https://api.spotify.com/v1/audio-analysis/0HojdnGegTDoXN6UP8PNde,0.677,425387,0.952,0HojdnGegTDoXN6UP8PNde,0.824,1,0.147,-5.536,1,0.0593,145.022,4,https://api.spotify.com/v1/tracks/0HojdnGegTDoXN6UP8PNde,audio_features,0.331
9,Agate,Astrix,spotify:track:5bFhLxqmSghToSzZGMeh1I,0.00159,https://api.spotify.com/v1/audio-analysis/5bFhLxqmSghToSzZGMeh1I,0.621,523478,0.885,5bFhLxqmSghToSzZGMeh1I,0.791,8,0.14,-7.601,1,0.0487,137.966,4,https://api.spotify.com/v1/tracks/5bFhLxqmSghToSzZGMeh1I,audio_features,0.127
