,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,Tu Foto,Ozuna,spotify:track:0Szp49tpFasIjX04Mcsydp,0.205,https://api.spotify.com/v1/audio-analysis/0Szp49tpFasIjX04Mcsydp,0.735,193118,0.482,0Szp49tpFasIjX04Mcsydp,0.000194,7,0.0894,-9.21,1,0.0508,175.907,4,https://api.spotify.com/v1/tracks/0Szp49tpFasIjX04Mcsydp,audio_features,0.795
1,Mala Mujer,C. Tangana,spotify:track:6puxHBNwu2Nmm7uD3Rd2MP,0.238,https://api.spotify.com/v1/audio-analysis/6puxHBNwu2Nmm7uD3Rd2MP,0.836,222896,0.731,6puxHBNwu2Nmm7uD3Rd2MP,2.19e-05,0,0.0698,-4.572,0,0.133,100.974,4,https://api.spotify.com/v1/tracks/6puxHBNwu2Nmm7uD3Rd2MP,audio_features,0.473
2,Me Rehúso,Danny Ocean,spotify:track:6De0lHrwBfPfrhorm9q1Xl,0.0231,https://api.spotify.com/v1/audio-analysis/6De0lHrwBfPfrhorm9q1Xl,0.744,205715,0.804,6De0lHrwBfPfrhorm9q1Xl,0.0,1,0.0494,-6.327,1,0.0677,104.823,4,https://api.spotify.com/v1/tracks/6De0lHrwBfPfrhorm9q1Xl,audio_features,0.426
3,Mi Gente,J Balvin,spotify:track:2rb5MvYT7ZIxbKW5hfcHx8,0.0148,https://api.spotify.com/v1/audio-analysis/2rb5MvYT7ZIxbKW5hfcHx8,0.543,189440,0.677,2rb5MvYT7ZIxbKW5hfcHx8,6.21e-06,11,0.13,-4.915,0,0.0993,103.809,4,https://api.spotify.com/v1/tracks/2rb5MvYT7ZIxbKW5hfcHx8,audio_features,0.294
4,Báilame - Remix,Nacho,spotify:track:3VClLWqNn80Llv0PJOsKgr,0.248,https://api.spotify.com/v1/audio-analysis/3VClLWqNn80Llv0PJOsKgr,0.791,217080,0.866,3VClLWqNn80Llv0PJOsKgr,5.29e-06,6,0.0696,-4.236,1,0.0497,96.011,4,https://api.spotify.com/v1/tracks/3VClLWqNn80Llv0PJOsKgr,audio_features,0.71
5,Que Va,Alex Sensation,spotify:track:7ofxPmTNMj2GP07g1VZa0O,0.13,https://api.spotify.com/v1/audio-analysis/7ofxPmTNMj2GP07g1VZa0O,0.771,238160,0.835,7ofxPmTNMj2GP07g1VZa0O,0.0,0,0.0601,-3.388,1,0.0507,91.012,4,https://api.spotify.com/v1/tracks/7ofxPmTNMj2GP07g1VZa0O,audio_features,0.817
6,Krippy Kush,Farruko,spotify:track:3rgjBiAMVGnxmsTDmUy8vb,0.0668,https://api.spotify.com/v1/audio-analysis/3rgjBiAMVGnxmsTDmUy8vb,0.708,230520,0.56,3rgjBiAMVGnxmsTDmUy8vb,0.0,9,0.111,-7.132,1,0.129,163.043,4,https://api.spotify.com/v1/tracks/3rgjBiAMVGnxmsTDmUy8vb,audio_features,0.411
7,Tu No Metes Cabra,Bad Bunny,spotify:track:10nQ3Pj0o1XotcikgJPVKD,0.673,https://api.spotify.com/v1/audio-analysis/10nQ3Pj0o1XotcikgJPVKD,0.783,170765,0.653,10nQ3Pj0o1XotcikgJPVKD,0.00316,7,0.12,-1.964,1,0.272,91.964,4,https://api.spotify.com/v1/tracks/10nQ3Pj0o1XotcikgJPVKD,audio_features,0.41
8,Mayores,Becky G,spotify:track:7JNh1cfm0eXjqFVOzKLyau,0.141,https://api.spotify.com/v1/audio-analysis/7JNh1cfm0eXjqFVOzKLyau,0.743,202453,0.855,7JNh1cfm0eXjqFVOzKLyau,0.0045,5,0.099,-3.976,0,0.0436,96.989,4,https://api.spotify.com/v1/tracks/7JNh1cfm0eXjqFVOzKLyau,audio_features,0.871
9,"Soy Peor Remix (feat. J Balvin, Ozuna & Arcangel)",Bad Bunny,spotify:track:4UG962ViiLqoUyx0RjCcwP,0.23,https://api.spotify.com/v1/audio-analysis/4UG962ViiLqoUyx0RjCcwP,0.818,324828,0.454,4UG962ViiLqoUyx0RjCcwP,0.0,0,0.128,-6.965,0,0.137,115.994,4,https://api.spotify.com/v1/tracks/4UG962ViiLqoUyx0RjCcwP,audio_features,0.276
