,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,Paranoid,Black Sabbath,spotify:track:1jzDzZWeSDBg5fhNc3tczV,7.85e-05,https://api.spotify.com/v1/audio-analysis/1jzDzZWeSDBg5fhNc3tczV,0.429,168440,0.631,1jzDzZWeSDBg5fhNc3tczV,0.00411,4,0.175,-11.514,0,0.0769,162.734,4,https://api.spotify.com/v1/tracks/1jzDzZWeSDBg5fhNc3tczV,audio_features,0.376
1,Breaking the Law,Judas Priest,spotify:track:2RaA6kIcvomt77qlIgGhCT,0.024,https://api.spotify.com/v1/audio-analysis/2RaA6kIcvomt77qlIgGhCT,0.362,153840,0.961,2RaA6kIcvomt77qlIgGhCT,9.35e-06,2,0.159,-5.664,1,0.0857,164.019,4,https://api.spotify.com/v1/tracks/2RaA6kIcvomt77qlIgGhCT,audio_features,0.491
2,Wasted Years - 1998 Remaster,Iron Maiden,spotify:track:4PSiPZp8MYMDZzuBhCLgc6,0.0605,https://api.spotify.com/v1/audio-analysis/4PSiPZp8MYMDZzuBhCLgc6,0.242,307573,0.953,4PSiPZp8MYMDZzuBhCLgc6,3.38e-05,4,0.135,-5.555,0,0.115,153.738,4,https://api.spotify.com/v1/tracks/4PSiPZp8MYMDZzuBhCLgc6,audio_features,0.342
3,Rock You Like a Hurricane - 2015 - Remaster,Scorpions,spotify:track:5qrNtSNkPsWfjqaYNugzYT,0.00484,https://api.spotify.com/v1/audio-analysis/5qrNtSNkPsWfjqaYNugzYT,0.402,253667,0.873,5qrNtSNkPsWfjqaYNugzYT,7.3e-05,4,0.157,-3.209,0,0.0586,125.443,4,https://api.spotify.com/v1/tracks/5qrNtSNkPsWfjqaYNugzYT,audio_features,0.684
4,Rainbow In The Dark,Dio,spotify:track:5qFxuUIAwJlzO60vqOiL7y,7.06e-05,https://api.spotify.com/v1/audio-analysis/5qFxuUIAwJlzO60vqOiL7y,0.508,252693,0.912,5qFxuUIAwJlzO60vqOiL7y,0.403,9,0.0492,-8.049,0,0.0368,117.582,4,https://api.spotify.com/v1/tracks/5qFxuUIAwJlzO60vqOiL7y,audio_features,0.682
5,Symphony Of Destruction,Megadeth,spotify:track:51TG9W3y9qyO8BY5RXKgnZ,0.000805,https://api.spotify.com/v1/audio-analysis/51TG9W3y9qyO8BY5RXKgnZ,0.61,246733,0.891,51TG9W3y9qyO8BY5RXKgnZ,0.0928,4,0.0657,-5.452,0,0.0587,139.903,4,https://api.spotify.com/v1/tracks/51TG9W3y9qyO8BY5RXKgnZ,audio_features,0.51
6,Ace of Spades,Motörhead,spotify:track:3AVZaAbDvR6rs2NN4n0aAF,0.00248,https://api.spotify.com/v1/audio-analysis/3AVZaAbDvR6rs2NN4n0aAF,0.321,166707,0.99,3AVZaAbDvR6rs2NN4n0aAF,0.00631,6,0.0924,-4.461,1,0.204,140.574,4,https://api.spotify.com/v1/tracks/3AVZaAbDvR6rs2NN4n0aAF,audio_features,0.209
7,Mother,Danzig,spotify:track:7txxAtOMwLLnQTpKeBL6bp,0.00726,https://api.spotify.com/v1/audio-analysis/7txxAtOMwLLnQTpKeBL6bp,0.365,204867,0.763,7txxAtOMwLLnQTpKeBL6bp,0.000457,11,0.0865,-9.45,0,0.0591,148.366,4,https://api.spotify.com/v1/tracks/7txxAtOMwLLnQTpKeBL6bp,audio_features,0.342
8,Highway Star - Remastered 2012,Deep Purple,spotify:track:3uMmllZo1AfoEnVT4ENCD3,0.135,https://api.spotify.com/v1/audio-analysis/3uMmllZo1AfoEnVT4ENCD3,0.307,366136,0.909,3uMmllZo1AfoEnVT4ENCD3,0.0336,9,0.125,-7.08,0,0.0574,173.674,4,https://api.spotify.com/v1/tracks/3uMmllZo1AfoEnVT4ENCD3,audio_features,0.443
9,Heaven and Hell - 2009 Remaster,Black Sabbath,spotify:track:3HzWxmvpQU3QHQ59zw1X4V,0.00858,https://api.spotify.com/v1/audio-analysis/3HzWxmvpQU3QHQ59zw1X4V,0.333,417840,0.445,3HzWxmvpQU3QHQ59zw1X4V,0.0451,3,0.167,-16.343,0,0.0283,89.371,4,https://api.spotify.com/v1/tracks/3HzWxmvpQU3QHQ59zw1X4V,audio_features,0.35
