,Songs,Artists,Uris
0,Take Me To Church,Hozier,spotify:track:7dS5EaCoMnN7DzlpT6aRn2
1,Cooler Than Me - Single Mix,Mike Posner,spotify:track:2V4bv1fNWfTcyRJKmej6Sj
2,See You Again (feat. Kali Uchis),"Tyler, The Creator",spotify:track:7KA4W4McWYRpgf0fWsJZWB
3,Pompeii,Bastille,spotify:track:3gbBpTdY8lnQwqxNCcf795
4,Hips Don't Lie (feat. Wyclef Jean),Shakira,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V
5,Hall of Fame (feat. will.i.am),The Script,spotify:track:7wMq5n8mYSKlQIGECKUgTX
6,Back Where I Belong (feat. Avicii),Otto Knows,spotify:track:78W8wiUIlQ2SnWY9TVowKZ
7,The Heart Wants What It Wants,Selena Gomez,spotify:track:2jcPoPin36hyNRSi4ZsqeB
8,Dynamite,Taio Cruz,spotify:track:2CEgGE6aESpnmtfiZwYlbV
9,Bumpy Ride,Mohombi,spotify:track:0tBRo4P60DgKmg4jt48upm
10,Danza Kuduro (feat. Don Omar),Lucenzo,spotify:track:1kAZhbcsXqfUjnVeqPywn2
11,Syypää sun hymyyn (feat. Yasmine Yamajako),Cheek,spotify:track:2N2QvMYwyYHE8V4KZbbG4i
12,Whistle,Flo Rida,spotify:track:0ltBH1JNzSvQJPjJpvTu9B
13,Girlfriend,Avril Lavigne,spotify:track:5HbCnVLXRyZVxnreOPgJCK
14,Baby,Justin Bieber,spotify:track:4NFhtFE68cXUrfbne8JE2c
15,I Cry,Flo Rida,spotify:track:5HE3z4Ew7wZ91l3ZOpGKa4
16,Coconut Tree,Mohombi,spotify:track:5L9THbmMKB6ZlHlMgzaXHf
17,One Less Lonely Girl,Justin Bieber,spotify:track:7qUcqYzOtfZe65bednDxmz
18,Romeo ja Julia (feat. Sophie),Pikku G,spotify:track:0seHreoI3kwp38OlEgLLnT
19,Don't You Worry Child - Radio Edit,Swedish House Mafia,spotify:track:5DcPOPPUnNhyPYbTi2aWjR
20,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,spotify:track:3bidbhpOYeV4knp8AIu8Xn
21,She Wolf (Falling to Pieces) [feat. Sia],David Guetta,spotify:track:1HfPcQ3c2HyGeID3u1lmCa
22,Radioactive,Imagine Dragons,spotify:track:6Ep6BzIOB9tz3P4sWqiiAB
