,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,Wild Strawberries,PNAU,spotify:track:6pGUGTIaZ1H4jKHIL4Fged,0.000351,https://api.spotify.com/v1/audio-analysis/6pGUGTIaZ1H4jKHIL4Fged,0.647,235107,0.933,6pGUGTIaZ1H4jKHIL4Fged,0.00277,7,0.334,-4.056,1,0.111,119.921,4,https://api.spotify.com/v1/tracks/6pGUGTIaZ1H4jKHIL4Fged,audio_features,0.332
1,Papaoutai,Stromae,spotify:track:09TcIuH1ZO7i4vicWKoaN2,0.0241,https://api.spotify.com/v1/audio-analysis/09TcIuH1ZO7i4vicWKoaN2,0.733,232147,0.818,09TcIuH1ZO7i4vicWKoaN2,0.0,10,0.0636,-7.222,0,0.0859,116.019,4,https://api.spotify.com/v1/tracks/09TcIuH1ZO7i4vicWKoaN2,audio_features,0.253
2,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,spotify:track:1TfqLAPs4K3s2rJMoCokcS,0.225,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,0.692,216933,0.711,1TfqLAPs4K3s2rJMoCokcS,0.0,0,0.12,-7.498,0,0.0317,125.135,4,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,audio_features,0.875
3,Rock and Roll - 1990 Remaster,Led Zeppelin,spotify:track:3w2GGz0HjIu9OcWXINRFJR,0.000564,https://api.spotify.com/v1/audio-analysis/3w2GGz0HjIu9OcWXINRFJR,0.327,219800,0.895,3w2GGz0HjIu9OcWXINRFJR,0.0159,9,0.104,-7.428,1,0.0367,169.39,4,https://api.spotify.com/v1/tracks/3w2GGz0HjIu9OcWXINRFJR,audio_features,0.898
4,Talk Dirty (feat. 2 Chainz),Jason Derulo,spotify:track:4X4tgBEUiT6WqB2oTJ5ynH,0.0348,https://api.spotify.com/v1/audio-analysis/4X4tgBEUiT6WqB2oTJ5ynH,0.76,177685,0.652,4X4tgBEUiT6WqB2oTJ5ynH,0.0,6,0.307,-7.321,1,0.232,100.315,4,https://api.spotify.com/v1/tracks/4X4tgBEUiT6WqB2oTJ5ynH,audio_features,0.759
5,La La La,Naughty Boy,spotify:track:36pLU2ywVeBKEF0rrKtmCB,0.107,https://api.spotify.com/v1/audio-analysis/36pLU2ywVeBKEF0rrKtmCB,0.772,222200,0.65,36pLU2ywVeBKEF0rrKtmCB,1.13e-06,6,0.0905,-5.202,0,0.0306,125.082,4,https://api.spotify.com/v1/tracks/36pLU2ywVeBKEF0rrKtmCB,audio_features,0.262
6,Play Hard (feat. Ne-Yo & Akon),David Guetta,spotify:track:0BBZuOGGBj9u4X3rAfmae8,0.173,https://api.spotify.com/v1/audio-analysis/0BBZuOGGBj9u4X3rAfmae8,0.691,201000,0.921,0BBZuOGGBj9u4X3rAfmae8,0.0,8,0.331,-1.702,0,0.0533,130.072,4,https://api.spotify.com/v1/tracks/0BBZuOGGBj9u4X3rAfmae8,audio_features,0.8
7,Feel This Moment (feat. Christina Aguilera),Pitbull,spotify:track:1obZSxOoO12yWkwY1kY72N,0.039,https://api.spotify.com/v1/audio-analysis/1obZSxOoO12yWkwY1kY72N,0.673,229507,0.758,1obZSxOoO12yWkwY1kY72N,0.0,7,0.341,-3.632,1,0.158,135.956,4,https://api.spotify.com/v1/tracks/1obZSxOoO12yWkwY1kY72N,audio_features,0.542
8,Love Me Again,John Newman,spotify:track:1a1r5s7ivXUVQQrIvo5VSs,0.00445,https://api.spotify.com/v1/audio-analysis/1a1r5s7ivXUVQQrIvo5VSs,0.5,239894,0.892,1a1r5s7ivXUVQQrIvo5VSs,0.000422,2,0.0969,-4.714,0,0.0433,126.019,4,https://api.spotify.com/v1/tracks/1a1r5s7ivXUVQQrIvo5VSs,audio_features,0.233
9,A Little Party Never Killed Nobody (All We Got),Fergie,spotify:track:1mz9ZrRYu3EPVg9ZHFtjjf,0.00876,https://api.spotify.com/v1/audio-analysis/1mz9ZrRYu3EPVg9ZHFtjjf,0.763,240907,0.653,1mz9ZrRYu3EPVg9ZHFtjjf,5.46e-06,5,0.0854,-5.05,0,0.149,130.025,4,https://api.spotify.com/v1/tracks/1mz9ZrRYu3EPVg9ZHFtjjf,audio_features,0.477
10,Starships,Nicki Minaj,spotify:track:2EBCVPNAG46nbgs6jXPGvv,0.135,https://api.spotify.com/v1/audio-analysis/2EBCVPNAG46nbgs6jXPGvv,0.747,210627,0.716,2EBCVPNAG46nbgs6jXPGvv,0.0,11,0.251,-2.457,0,0.075,125.008,4,https://api.spotify.com/v1/tracks/2EBCVPNAG46nbgs6jXPGvv,audio_features,0.751
11,We Found Love,Rihanna,spotify:track:1gYMxXXGANfGIGXDFf9Czv,0.0187,https://api.spotify.com/v1/audio-analysis/1gYMxXXGANfGIGXDFf9Czv,0.75,215227,0.756,1gYMxXXGANfGIGXDFf9Czv,0.00125,1,0.196,-4.45,1,0.0426,127.992,4,https://api.spotify.com/v1/tracks/1gYMxXXGANfGIGXDFf9Czv,audio_features,0.6
12,Pompeii,Bastille,spotify:track:0sooJd5WbNnnz5k6yO7FIQ,0.074,https://api.spotify.com/v1/audio-analysis/0sooJd5WbNnnz5k6yO7FIQ,0.682,214148,0.714,0sooJd5WbNnnz5k6yO7FIQ,0.0,9,0.278,-6.306,1,0.0399,127.443,4,https://api.spotify.com/v1/tracks/0sooJd5WbNnnz5k6yO7FIQ,audio_features,0.581
13,Die Young,Kesha,spotify:track:6mnjcTmK8TewHfyOp3fC9C,0.00498,https://api.spotify.com/v1/audio-analysis/6mnjcTmK8TewHfyOp3fC9C,0.711,211920,0.7,6mnjcTmK8TewHfyOp3fC9C,0.000125,1,0.215,-4.805,0,0.046,128.001,4,https://api.spotify.com/v1/tracks/6mnjcTmK8TewHfyOp3fC9C,audio_features,0.801
14,Hymn,Kesha,spotify:track:0wJJhRgdHhT93Z3iWdMB0T,0.147,https://api.spotify.com/v1/audio-analysis/0wJJhRgdHhT93Z3iWdMB0T,0.488,205600,0.538,0wJJhRgdHhT93Z3iWdMB0T,0.0,6,0.305,-4.974,1,0.076,67.037,4,https://api.spotify.com/v1/tracks/0wJJhRgdHhT93Z3iWdMB0T,audio_features,0.38
15,Burn,Ellie Goulding,spotify:track:2GgxS8bUT5G25QJTsfSv0R,0.31,https://api.spotify.com/v1/audio-analysis/2GgxS8bUT5G25QJTsfSv0R,0.559,231212,0.777,2GgxS8bUT5G25QJTsfSv0R,0.0,1,0.105,-5.031,1,0.0432,87.016,4,https://api.spotify.com/v1/tracks/2GgxS8bUT5G25QJTsfSv0R,audio_features,0.329
16,Animals - Extended,Martin Garrix,spotify:track:28GieRAflAHypFfEimSaxa,0.00171,https://api.spotify.com/v1/audio-analysis/28GieRAflAHypFfEimSaxa,0.673,303827,0.853,28GieRAflAHypFfEimSaxa,0.724,1,0.39,-6.451,1,0.038,128.015,4,https://api.spotify.com/v1/tracks/28GieRAflAHypFfEimSaxa,audio_features,0.0382
17,Safe And Sound,Capital Cities,spotify:track:6BnONjR7itGMEqwxKTIlRM,0.00021,https://api.spotify.com/v1/audio-analysis/6BnONjR7itGMEqwxKTIlRM,0.653,192790,0.822,6BnONjR7itGMEqwxKTIlRM,0.0047,0,0.0838,-4.857,1,0.033,117.949,5,https://api.spotify.com/v1/tracks/6BnONjR7itGMEqwxKTIlRM,audio_features,0.762
18,Levels - Radio Edit,Avicii,spotify:track:0JhKJg5ejeQ8jq89UQtnw8,0.0585,https://api.spotify.com/v1/audio-analysis/0JhKJg5ejeQ8jq89UQtnw8,0.62,199904,0.881,0JhKJg5ejeQ8jq89UQtnw8,0.714,1,0.311,-5.851,0,0.0372,126.035,4,https://api.spotify.com/v1/tracks/0JhKJg5ejeQ8jq89UQtnw8,audio_features,0.415
19,Titanium (feat. Sia),David Guetta,spotify:track:0TDLuuLlV54CkRRUOahJb4,0.0679,https://api.spotify.com/v1/audio-analysis/0TDLuuLlV54CkRRUOahJb4,0.604,245040,0.787,0TDLuuLlV54CkRRUOahJb4,0.15,0,0.127,-3.674,0,0.103,126.062,4,https://api.spotify.com/v1/tracks/0TDLuuLlV54CkRRUOahJb4,audio_features,0.301
20,Rather Be (feat. Jess Glynne),Clean Bandit,spotify:track:5HuqzFfq2ulY1iBAW5CxLe,0.162,https://api.spotify.com/v1/audio-analysis/5HuqzFfq2ulY1iBAW5CxLe,0.799,227833,0.586,5HuqzFfq2ulY1iBAW5CxLe,2.03e-06,11,0.193,-6.735,1,0.0377,120.97,4,https://api.spotify.com/v1/tracks/5HuqzFfq2ulY1iBAW5CxLe,audio_features,0.549
21,Hey Now (feat. Kyle) - Single Mix,Martin Solveig,spotify:track:4jay2G7QI61dlPd8qKy5BP,0.00552,https://api.spotify.com/v1/audio-analysis/4jay2G7QI61dlPd8qKy5BP,0.712,187507,0.957,4jay2G7QI61dlPd8qKy5BP,1.77e-06,0,0.103,-1.923,1,0.0793,128.039,4,https://api.spotify.com/v1/tracks/4jay2G7QI61dlPd8qKy5BP,audio_features,0.703
