,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,Reflection,Purrple Cat,spotify:track:6mtIIBnepTGSzc9GJ0SsWW,0.817,https://api.spotify.com/v1/audio-analysis/6mtIIBnepTGSzc9GJ0SsWW,0.63,191258,0.212,6mtIIBnepTGSzc9GJ0SsWW,0.64,7,0.116,-17.003,0,0.035,159.956,4,https://api.spotify.com/v1/tracks/6mtIIBnepTGSzc9GJ0SsWW,audio_features,0.0582
1,Trees In The Wind,No Spirit,spotify:track:6yp4JxPBK8zAdDZDljkJON,0.856,https://api.spotify.com/v1/audio-analysis/6yp4JxPBK8zAdDZDljkJON,0.665,201220,0.193,6yp4JxPBK8zAdDZDljkJON,0.928,5,0.159,-12.734,0,0.0496,82.001,4,https://api.spotify.com/v1/tracks/6yp4JxPBK8zAdDZDljkJON,audio_features,0.153
2,Soaring,Elior,spotify:track:1jZmjFsJHNYc0Tajv8svDX,0.857,https://api.spotify.com/v1/audio-analysis/1jZmjFsJHNYc0Tajv8svDX,0.547,167891,0.112,1jZmjFsJHNYc0Tajv8svDX,0.846,8,0.083,-14.46,0,0.0381,71.973,4,https://api.spotify.com/v1/tracks/1jZmjFsJHNYc0Tajv8svDX,audio_features,0.117
3,Kiptime,brillion.,spotify:track:4LNGK2QGAfNsQK8aQZ16LE,0.535,https://api.spotify.com/v1/audio-analysis/4LNGK2QGAfNsQK8aQZ16LE,0.7,146000,0.446,4LNGK2QGAfNsQK8aQZ16LE,0.943,10,0.0781,-11.123,1,0.0334,119.975,4,https://api.spotify.com/v1/tracks/4LNGK2QGAfNsQK8aQZ16LE,audio_features,0.0668
4,Arrival,brillion.,spotify:track:2TWt5o78BA2h1LIUYjbMd5,0.0797,https://api.spotify.com/v1/audio-analysis/2TWt5o78BA2h1LIUYjbMd5,0.708,186667,0.276,2TWt5o78BA2h1LIUYjbMd5,0.881,0,0.0907,-13.83,0,0.0695,144.003,4,https://api.spotify.com/v1/tracks/2TWt5o78BA2h1LIUYjbMd5,audio_features,0.0778
5,Distant Memory,Dontcry,spotify:track:0NkvYfivzg2V0vwE2oF8k2,0.591,https://api.spotify.com/v1/audio-analysis/0NkvYfivzg2V0vwE2oF8k2,0.612,111484,0.0616,0NkvYfivzg2V0vwE2oF8k2,0.895,4,0.11,-17.12,0,0.144,156.18,4,https://api.spotify.com/v1/tracks/0NkvYfivzg2V0vwE2oF8k2,audio_features,0.277
6,After You,Hoogway,spotify:track:7LHgbMpFUly0h3EQyxIjQk,0.714,https://api.spotify.com/v1/audio-analysis/7LHgbMpFUly0h3EQyxIjQk,0.571,145946,0.214,7LHgbMpFUly0h3EQyxIjQk,0.94,11,0.445,-13.715,0,0.0298,148.097,4,https://api.spotify.com/v1/tracks/7LHgbMpFUly0h3EQyxIjQk,audio_features,0.163
7,You've Forgotten How,Ky akasha,spotify:track:5ZHTGlBJksDgq8c5MQnpBS,0.901,https://api.spotify.com/v1/audio-analysis/5ZHTGlBJksDgq8c5MQnpBS,0.779,171600,0.0931,5ZHTGlBJksDgq8c5MQnpBS,0.905,10,0.109,-18.488,1,0.0528,99.963,4,https://api.spotify.com/v1/tracks/5ZHTGlBJksDgq8c5MQnpBS,audio_features,0.0612
8,Cold Pizza,Purrple Cat,spotify:track:4plJzqTGR6odziJvwh9e0Z,0.87,https://api.spotify.com/v1/audio-analysis/4plJzqTGR6odziJvwh9e0Z,0.751,184510,0.141,4plJzqTGR6odziJvwh9e0Z,0.834,9,0.106,-15.063,0,0.0381,120.076,4,https://api.spotify.com/v1/tracks/4plJzqTGR6odziJvwh9e0Z,audio_features,0.251
9,Depths,Casiio,spotify:track:1sX9m2zk0CiXE5vDweRL7S,0.854,https://api.spotify.com/v1/audio-analysis/1sX9m2zk0CiXE5vDweRL7S,0.319,130917,0.289,1sX9m2zk0CiXE5vDweRL7S,0.922,4,0.679,-14.915,0,0.0768,153.633,4,https://api.spotify.com/v1/tracks/1sX9m2zk0CiXE5vDweRL7S,audio_features,0.147
