,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,(There Is) No Greater Love,Amy Winehouse,spotify:track:3U9WzMwu5kpby0r4200j7J,0.944,https://api.spotify.com/v1/audio-analysis/3U9WzMwu5kpby0r4200j7J,0.391,128933.0,0.229,3U9WzMwu5kpby0r4200j7J,1.66e-05,1.0,0.0951,-12.766,0.0,0.0464,137.865,4.0,https://api.spotify.com/v1/tracks/3U9WzMwu5kpby0r4200j7J,audio_features,0.282
1,You Go to My Head - Take 1,Billie Holiday,spotify:track:0JmzzjoM5HWgdEQxe58jNf,0.976,https://api.spotify.com/v1/audio-analysis/0JmzzjoM5HWgdEQxe58jNf,0.594,169333.0,0.156,0JmzzjoM5HWgdEQxe58jNf,2.3e-05,10.0,0.366,-15.65,1.0,0.0411,91.644,3.0,https://api.spotify.com/v1/tracks/0JmzzjoM5HWgdEQxe58jNf,audio_features,0.348
2,All Of Me,Billie Holiday,spotify:track:1b8yOmfO2SH4thcrwORtE8,0.937,https://api.spotify.com/v1/audio-analysis/1b8yOmfO2SH4thcrwORtE8,0.486,184507.0,0.122,1b8yOmfO2SH4thcrwORtE8,0.00314,2.0,0.0867,-11.341,0.0,0.0347,105.158,5.0,https://api.spotify.com/v1/tracks/1b8yOmfO2SH4thcrwORtE8,audio_features,0.332
3,Don't Cry Baby,Madeleine Peyroux,spotify:track:6rmfVDXJjjBhDRlPvzR9Gb,0.878,https://api.spotify.com/v1/audio-analysis/6rmfVDXJjjBhDRlPvzR9Gb,0.626,196347.0,0.352,6rmfVDXJjjBhDRlPvzR9Gb,0.0176,7.0,0.11,-10.346,1.0,0.032,105.734,4.0,https://api.spotify.com/v1/tracks/6rmfVDXJjjBhDRlPvzR9Gb,audio_features,0.239
4,You Don't Know Me (with Diana Krall),Ray Charles,spotify:track:3NhDsoowimZMc97tDuG1T5,0.74,https://api.spotify.com/v1/audio-analysis/3NhDsoowimZMc97tDuG1T5,0.32,235464.0,0.438,3NhDsoowimZMc97tDuG1T5,0.0,8.0,0.139,-9.119,1.0,0.0467,186.804,3.0,https://api.spotify.com/v1/tracks/3NhDsoowimZMc97tDuG1T5,audio_features,0.235
5,Time After Time - Vocal Version,Chet Baker,spotify:track:4m6OC8u2rC6LMFtFWsME7d,0.938,https://api.spotify.com/v1/audio-analysis/4m6OC8u2rC6LMFtFWsME7d,0.501,166760.0,0.0454,4m6OC8u2rC6LMFtFWsME7d,3.76e-05,0.0,0.2,-18.783,1.0,0.0388,99.783,4.0,https://api.spotify.com/v1/tracks/4m6OC8u2rC6LMFtFWsME7d,audio_features,0.255
6,Cheek To Cheek,Ella Fitzgerald & Louis Armstrong,spotify:track:4UHs7wzrmy9qvlFnHftLel,0.684,https://api.spotify.com/v1/audio-analysis/4UHs7wzrmy9qvlFnHftLel,0.667,352613.0,0.424,4UHs7wzrmy9qvlFnHftLel,0.0,0.0,0.159,-6.957,1.0,0.077,122.262,4.0,https://api.spotify.com/v1/tracks/4UHs7wzrmy9qvlFnHftLel,audio_features,0.558
7,Too Marvelous For Words,Frank Sinatra,spotify:track:0DafVuvp3J2DvDjIijiffV,0.52,https://api.spotify.com/v1/audio-analysis/0DafVuvp3J2DvDjIijiffV,0.645,148200.0,0.259,0DafVuvp3J2DvDjIijiffV,2.78e-06,5.0,0.109,-12.405,1.0,0.0523,126.672,4.0,https://api.spotify.com/v1/tracks/0DafVuvp3J2DvDjIijiffV,audio_features,0.65
8,That Old Black Magic,Frank Sinatra,spotify:track:29b91cs9KsGslsqnT7eGkB,0.571,https://api.spotify.com/v1/audio-analysis/29b91cs9KsGslsqnT7eGkB,0.679,242960.0,0.148,29b91cs9KsGslsqnT7eGkB,0.0,8.0,0.127,-14.575,1.0,0.0466,128.293,4.0,https://api.spotify.com/v1/tracks/29b91cs9KsGslsqnT7eGkB,audio_features,0.472
9,My Baby Just Cares For Me,Frank Sinatra,spotify:track:1JkpPufBDtHtZlGXFDWRKe,0.569,https://api.spotify.com/v1/audio-analysis/1JkpPufBDtHtZlGXFDWRKe,0.567,151520.0,0.539,1JkpPufBDtHtZlGXFDWRKe,0.0,8.0,0.201,-6.599,1.0,0.0404,119.145,4.0,https://api.spotify.com/v1/tracks/1JkpPufBDtHtZlGXFDWRKe,audio_features,0.592
