,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,Talk to Me You'll Understand,Ross from Friends,spotify:track:0DRp685EnPxbJsF3tsZlC4,0.666,https://api.spotify.com/v1/audio-analysis/0DRp685EnPxbJsF3tsZlC4,0.742,417100,0.619,0DRp685EnPxbJsF3tsZlC4,0.677,1,0.124,-11.368,0,0.0516,126.007,4,https://api.spotify.com/v1/tracks/0DRp685EnPxbJsF3tsZlC4,audio_features,0.147
1,I DON'T CARE,박혜진 Park Hye Jin,spotify:track:0N9WQE0WCPetQduRvRRu1r,0.0409,https://api.spotify.com/v1/audio-analysis/0N9WQE0WCPetQduRvRRu1r,0.886,340661,0.521,0N9WQE0WCPetQduRvRRu1r,0.245,6,0.0789,-10.47,0,0.11,124.013,4,https://api.spotify.com/v1/tracks/0N9WQE0WCPetQduRvRRu1r,audio_features,0.244
2,Rosegold,Entro Senestre,spotify:track:0ouuMqZrts9DCJEEwGhAcG,0.16,https://api.spotify.com/v1/audio-analysis/0ouuMqZrts9DCJEEwGhAcG,0.749,370084,0.758,0ouuMqZrts9DCJEEwGhAcG,0.388,7,0.0938,-11.797,0,0.171,125.987,4,https://api.spotify.com/v1/tracks/0ouuMqZrts9DCJEEwGhAcG,audio_features,0.7
3,The Sunrise In Her Eyes,Route 8,spotify:track:5YEN0NXMbnBIfS708fZDTC,0.000946,https://api.spotify.com/v1/audio-analysis/5YEN0NXMbnBIfS708fZDTC,0.736,354185,0.559,5YEN0NXMbnBIfS708fZDTC,0.83,0,0.09,-9.796,0,0.0471,121.35,4,https://api.spotify.com/v1/tracks/5YEN0NXMbnBIfS708fZDTC,audio_features,0.287
4,Drive,Mall Grab,spotify:track:1BVahRcD2eKQlE1PivpBSW,0.292,https://api.spotify.com/v1/audio-analysis/1BVahRcD2eKQlE1PivpBSW,0.468,404628,0.561,1BVahRcD2eKQlE1PivpBSW,0.89,7,0.299,-8.839,0,0.0426,120.97,4,https://api.spotify.com/v1/tracks/1BVahRcD2eKQlE1PivpBSW,audio_features,0.432
5,Blush,Leon Vynehall,spotify:track:19uZpCvv7D2xcz2KwXFgiO,0.000521,https://api.spotify.com/v1/audio-analysis/19uZpCvv7D2xcz2KwXFgiO,0.631,510813,0.868,19uZpCvv7D2xcz2KwXFgiO,0.0507,5,0.347,-6.856,0,0.347,121.996,4,https://api.spotify.com/v1/tracks/19uZpCvv7D2xcz2KwXFgiO,audio_features,0.412
6,Lush,Four Tet,spotify:track:4KjNEsQ4jkqXwCmsn71a9p,0.83,https://api.spotify.com/v1/audio-analysis/4KjNEsQ4jkqXwCmsn71a9p,0.659,311893,0.667,4KjNEsQ4jkqXwCmsn71a9p,0.896,1,0.118,-10.463,0,0.0326,132.907,4,https://api.spotify.com/v1/tracks/4KjNEsQ4jkqXwCmsn71a9p,audio_features,0.637
7,Winona,DJ BORING,spotify:track:5yDZCMX6kiySxu3GCmzFEN,0.0387,https://api.spotify.com/v1/audio-analysis/5yDZCMX6kiySxu3GCmzFEN,0.656,511032,0.693,5yDZCMX6kiySxu3GCmzFEN,0.83,5,0.111,-7.876,0,0.0703,122.028,4,https://api.spotify.com/v1/tracks/5yDZCMX6kiySxu3GCmzFEN,audio_features,0.158
8,Gettin' It Done,Ross from Friends,spotify:track:0Rn9CZTTq68l7u2EuaWoK4,0.0041,https://api.spotify.com/v1/audio-analysis/0Rn9CZTTq68l7u2EuaWoK4,0.843,306685,0.702,0Rn9CZTTq68l7u2EuaWoK4,0.787,6,0.0998,-11.502,0,0.0511,126.987,4,https://api.spotify.com/v1/tracks/0Rn9CZTTq68l7u2EuaWoK4,audio_features,0.892
9,High Reflection,Octo Octa,spotify:track:3Xc6vidZaQb8Zi9iRebBHR,0.0874,https://api.spotify.com/v1/audio-analysis/3Xc6vidZaQb8Zi9iRebBHR,0.707,332903,0.823,3Xc6vidZaQb8Zi9iRebBHR,0.911,11,0.0647,-12.504,0,0.31,124.003,4,https://api.spotify.com/v1/tracks/3Xc6vidZaQb8Zi9iRebBHR,audio_features,0.116
10,Stuck in Russia,DJ BORING,spotify:track:0GMAjrdGex5LHbLBzexcpa,0.00022,https://api.spotify.com/v1/audio-analysis/0GMAjrdGex5LHbLBzexcpa,0.802,453596,0.872,0GMAjrdGex5LHbLBzexcpa,0.901,1,0.292,-9.607,1,0.0368,124.008,4,https://api.spotify.com/v1/tracks/0GMAjrdGex5LHbLBzexcpa,audio_features,0.464
11,Goodthing,Leon Vynehall,spotify:track:2yWIxP78K1irJMI3TU6CI2,0.0932,https://api.spotify.com/v1/audio-analysis/2yWIxP78K1irJMI3TU6CI2,0.697,384030,0.752,2yWIxP78K1irJMI3TU6CI2,0.329,3,0.128,-10.059,0,0.0781,123.302,4,https://api.spotify.com/v1/tracks/2yWIxP78K1irJMI3TU6CI2,audio_features,0.104
12,Bootman,Ross from Friends,spotify:track:5bRtTCeMr2ZTfG8nrOrJOE,0.112,https://api.spotify.com/v1/audio-analysis/5bRtTCeMr2ZTfG8nrOrJOE,0.793,365969,0.634,5bRtTCeMr2ZTfG8nrOrJOE,0.377,2,0.45,-12.193,0,0.0503,115.002,4,https://api.spotify.com/v1/tracks/5bRtTCeMr2ZTfG8nrOrJOE,audio_features,0.225
13,Kiburu's,Leon Vynehall,spotify:track:1UGPKkmY2tANnBSm317pB7,0.0241,https://api.spotify.com/v1/audio-analysis/1UGPKkmY2tANnBSm317pB7,0.742,513381,0.924,1UGPKkmY2tANnBSm317pB7,0.00172,1,0.357,-6.646,1,0.166,119.998,4,https://api.spotify.com/v1/tracks/1UGPKkmY2tANnBSm317pB7,audio_features,0.738
14,I Never Dream,Against All Logic,spotify:track:2ZsbtrFluQsuzsJMApF6yw,0.108,https://api.spotify.com/v1/audio-analysis/2ZsbtrFluQsuzsJMApF6yw,0.694,405992,0.871,2ZsbtrFluQsuzsJMApF6yw,0.786,1,0.0636,-3.621,0,0.0478,117.986,4,https://api.spotify.com/v1/tracks/2ZsbtrFluQsuzsJMApF6yw,audio_features,0.361
15,Get Back To You Soon,D. Tiffany,spotify:track:748CMVnWaxAfIIcvBudngK,0.00208,https://api.spotify.com/v1/audio-analysis/748CMVnWaxAfIIcvBudngK,0.808,366037,0.487,748CMVnWaxAfIIcvBudngK,0.35,11,0.0974,-8.129,1,0.0341,115.493,4,https://api.spotify.com/v1/tracks/748CMVnWaxAfIIcvBudngK,audio_features,0.0369
16,It's Just (House of Dupree),Leon Vynehall,spotify:track:6L6BWLhdE9DgpAltnwMqTt,0.0212,https://api.spotify.com/v1/audio-analysis/6L6BWLhdE9DgpAltnwMqTt,0.77,525467,0.711,6L6BWLhdE9DgpAltnwMqTt,0.0052,1,0.133,-9.19,1,0.308,121.444,4,https://api.spotify.com/v1/tracks/6L6BWLhdE9DgpAltnwMqTt,audio_features,0.394
17,Waiting,Hidden Spheres,spotify:track:09JLaHMWPaCmbcF2XvSnK3,0.215,https://api.spotify.com/v1/audio-analysis/09JLaHMWPaCmbcF2XvSnK3,0.799,412813,0.469,09JLaHMWPaCmbcF2XvSnK3,0.845,10,0.0952,-14.019,1,0.0523,120.035,4,https://api.spotify.com/v1/tracks/09JLaHMWPaCmbcF2XvSnK3,audio_features,0.411
18,Closer,Project Pablo,spotify:track:6n44rF2nl6rF0q5DYgezS1,0.171,https://api.spotify.com/v1/audio-analysis/6n44rF2nl6rF0q5DYgezS1,0.731,417738,0.945,6n44rF2nl6rF0q5DYgezS1,0.916,5,0.135,-7.84,0,0.0566,122.02,4,https://api.spotify.com/v1/tracks/6n44rF2nl6rF0q5DYgezS1,audio_features,0.223
19,Equation,Palms Trax,spotify:track:2G4IHfhOMFchzWjGRtvUYw,0.000282,https://api.spotify.com/v1/audio-analysis/2G4IHfhOMFchzWjGRtvUYw,0.63,469494,0.732,2G4IHfhOMFchzWjGRtvUYw,0.875,0,0.0897,-10.904,0,0.0393,123.933,4,https://api.spotify.com/v1/tracks/2G4IHfhOMFchzWjGRtvUYw,audio_features,0.368
20,Catching Feelings - Edit,Mall Grab,spotify:track:5G2EPkhaf5gwjnYYKDPLN5,0.36,https://api.spotify.com/v1/audio-analysis/5G2EPkhaf5gwjnYYKDPLN5,0.802,372480,0.845,5G2EPkhaf5gwjnYYKDPLN5,0.921,2,0.0876,-9.323,1,0.0439,125.019,4,https://api.spotify.com/v1/tracks/5G2EPkhaf5gwjnYYKDPLN5,audio_features,0.555
