,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,Again,Wun Two,spotify:track:24Jk4wYlLRXI9TUMdkHoMN,0.949,https://api.spotify.com/v1/audio-analysis/24Jk4wYlLRXI9TUMdkHoMN,0.762,143133,0.525,24Jk4wYlLRXI9TUMdkHoMN,0.87,6,0.114,-11.863,1,0.199,82.777,4,https://api.spotify.com/v1/tracks/24Jk4wYlLRXI9TUMdkHoMN,audio_features,0.652
1,Easy,Cro,spotify:track:0r1kH7SIkkPP9W7mUknObF,0.0804,https://api.spotify.com/v1/audio-analysis/0r1kH7SIkkPP9W7mUknObF,0.818,172209,0.625,0r1kH7SIkkPP9W7mUknObF,0.0,7,0.122,-6.512,1,0.0355,95.545,4,https://api.spotify.com/v1/tracks/0r1kH7SIkkPP9W7mUknObF,audio_features,0.959
2,A$AP Forever (feat. Moby),A$AP Rocky,spotify:track:1YmF9PvLhIISIANoMLIYGq,0.224,https://api.spotify.com/v1/audio-analysis/1YmF9PvLhIISIANoMLIYGq,0.469,233061,0.78,1YmF9PvLhIISIANoMLIYGq,0.0,10,0.13,-6.49,0,0.122,125.999,4,https://api.spotify.com/v1/tracks/1YmF9PvLhIISIANoMLIYGq,audio_features,0.444
3,Conclusion,AGM,spotify:track:1e92VSkCg0HIFwyxnDCfje,0.319,https://api.spotify.com/v1/audio-analysis/1e92VSkCg0HIFwyxnDCfje,0.895,125571,0.165,1e92VSkCg0HIFwyxnDCfje,0.793,0,0.167,-14.135,1,0.239,130.044,4,https://api.spotify.com/v1/tracks/1e92VSkCg0HIFwyxnDCfje,audio_features,0.581
4,Feels Like Summer,Childish Gambino,spotify:track:7p4vHnYXkxlzvfePJVpcTr,0.162,https://api.spotify.com/v1/audio-analysis/7p4vHnYXkxlzvfePJVpcTr,0.554,297404,0.596,7p4vHnYXkxlzvfePJVpcTr,0.00482,7,0.0805,-8.214,1,0.13,165.728,4,https://api.spotify.com/v1/tracks/7p4vHnYXkxlzvfePJVpcTr,audio_features,0.255
5,Jocelyn Flores,XXXTENTACION,spotify:track:7m9OqQk4RVRkw9JJdeAw96,0.469,https://api.spotify.com/v1/audio-analysis/7m9OqQk4RVRkw9JJdeAw96,0.872,119133,0.391,7m9OqQk4RVRkw9JJdeAw96,4.13e-06,0,0.297,-9.144,0,0.242,134.021,4,https://api.spotify.com/v1/tracks/7m9OqQk4RVRkw9JJdeAw96,audio_features,0.437
6,The Lamp Is High,Bitte Please,spotify:track:6BPO4rLBfsAJsdgxG4ufFx,0.182,https://api.spotify.com/v1/audio-analysis/6BPO4rLBfsAJsdgxG4ufFx,0.598,157664,0.3,6BPO4rLBfsAJsdgxG4ufFx,0.217,4,0.277,-9.427,0,0.0435,68.47,4,https://api.spotify.com/v1/tracks/6BPO4rLBfsAJsdgxG4ufFx,audio_features,0.134
7,lovesick,potsu,spotify:track:7DFal8r278aSAE4ZpC7vBD,0.922,https://api.spotify.com/v1/audio-analysis/7DFal8r278aSAE4ZpC7vBD,0.804,150967,0.577,7DFal8r278aSAE4ZpC7vBD,0.939,10,0.113,-14.929,1,0.14,79.486,4,https://api.spotify.com/v1/tracks/7DFal8r278aSAE4ZpC7vBD,audio_features,0.181
8,lost found 2001 rare,eevee,spotify:track:5CYs2ltQefO7piQxRM8lU6,0.794,https://api.spotify.com/v1/audio-analysis/5CYs2ltQefO7piQxRM8lU6,0.685,190586,0.203,5CYs2ltQefO7piQxRM8lU6,0.912,1,0.122,-13.864,1,0.415,80.639,4,https://api.spotify.com/v1/tracks/5CYs2ltQefO7piQxRM8lU6,audio_features,0.421
9,park closes at dusk,B0nds,spotify:track:0evtSx7sSEe2sGtEJ6JGry,0.111,https://api.spotify.com/v1/audio-analysis/0evtSx7sSEe2sGtEJ6JGry,0.48,120059,0.531,0evtSx7sSEe2sGtEJ6JGry,0.834,9,0.0957,-10.174,0,0.0743,159.805,4,https://api.spotify.com/v1/tracks/0evtSx7sSEe2sGtEJ6JGry,audio_features,0.341
10,She's Alive,Bremer/McCoy,spotify:track:1GLnM2xHIG9DdLGESEEA6n,0.985,https://api.spotify.com/v1/audio-analysis/1GLnM2xHIG9DdLGESEEA6n,0.511,131000,0.0337,1GLnM2xHIG9DdLGESEEA6n,0.931,2,0.0957,-28.338,0,0.0439,59.329,4,https://api.spotify.com/v1/tracks/1GLnM2xHIG9DdLGESEEA6n,audio_features,0.25
11,Stefanie,James Moody,spotify:track:3yV23Y1w7Uoc4Zw10L3Bwy,0.888,https://api.spotify.com/v1/audio-analysis/3yV23Y1w7Uoc4Zw10L3Bwy,0.482,284173,0.362,3yV23Y1w7Uoc4Zw10L3Bwy,0.905,11,0.178,-14.28,0,0.0305,92.302,4,https://api.spotify.com/v1/tracks/3yV23Y1w7Uoc4Zw10L3Bwy,audio_features,0.396
12,Wet Dreamz,J. Cole,spotify:track:6Ius4TC0L3cN74HT7ENE6e,0.0751,https://api.spotify.com/v1/audio-analysis/6Ius4TC0L3cN74HT7ENE6e,0.517,239320,0.705,6Ius4TC0L3cN74HT7ENE6e,0.0,6,0.128,-8.205,0,0.364,175.906,4,https://api.spotify.com/v1/tracks/6Ius4TC0L3cN74HT7ENE6e,audio_features,0.584
13,スモーク,SwuM,spotify:track:2g6WTGWNYGnRCBaWEzFE00,0.826,https://api.spotify.com/v1/audio-analysis/2g6WTGWNYGnRCBaWEzFE00,0.493,151579,0.441,2g6WTGWNYGnRCBaWEzFE00,0.681,5,0.122,-8.547,0,0.0572,76.001,4,https://api.spotify.com/v1/tracks/2g6WTGWNYGnRCBaWEzFE00,audio_features,0.227
14,Young Dumb & Broke,Khalid,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,0.199,https://api.spotify.com/v1/audio-analysis/5Z3GHaZ6ec9bsiI5BenrbY,0.798,202547,0.539,5Z3GHaZ6ec9bsiI5BenrbY,1.66e-05,1,0.165,-6.351,1,0.0421,136.949,4,https://api.spotify.com/v1/tracks/5Z3GHaZ6ec9bsiI5BenrbY,audio_features,0.394
15,Feblu,Flughand,spotify:track:0BD9XqvXSSxlHsdBlLKhqA,0.897,https://api.spotify.com/v1/audio-analysis/0BD9XqvXSSxlHsdBlLKhqA,0.769,93635,0.277,0BD9XqvXSSxlHsdBlLKhqA,0.862,10,0.118,-8.375,1,0.095,80.951,4,https://api.spotify.com/v1/tracks/0BD9XqvXSSxlHsdBlLKhqA,audio_features,0.641
16,belas,eevee,spotify:track:0SqCqfEs8odbI8gIBUIWwe,0.298,https://api.spotify.com/v1/audio-analysis/0SqCqfEs8odbI8gIBUIWwe,0.793,181639,0.201,0SqCqfEs8odbI8gIBUIWwe,0.704,11,0.112,-16.822,0,0.233,148.204,4,https://api.spotify.com/v1/tracks/0SqCqfEs8odbI8gIBUIWwe,audio_features,0.595
17,Summertime Sadness,Lana Del Rey,spotify:track:3BJe4B8zGnqEdQPMvfVjuS,0.0542,https://api.spotify.com/v1/audio-analysis/3BJe4B8zGnqEdQPMvfVjuS,0.565,265427,0.654,3BJe4B8zGnqEdQPMvfVjuS,1.8e-06,1,0.122,-6.826,0,0.0335,111.968,4,https://api.spotify.com/v1/tracks/3BJe4B8zGnqEdQPMvfVjuS,audio_features,0.235
18,Stolen Dance,Milky Chance,spotify:track:2jiPHbFX5XM8TjaTfYJ0eo,0.427,https://api.spotify.com/v1/audio-analysis/2jiPHbFX5XM8TjaTfYJ0eo,0.885,313684,0.581,2jiPHbFX5XM8TjaTfYJ0eo,0.000204,11,0.0759,-8.813,1,0.0378,114.016,4,https://api.spotify.com/v1/tracks/2jiPHbFX5XM8TjaTfYJ0eo,audio_features,0.728
19,Riptide,Vance Joy,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,0.431,https://api.spotify.com/v1/audio-analysis/7yq4Qj7cqayVTp3FF9CWbm,0.484,204280,0.731,7yq4Qj7cqayVTp3FF9CWbm,0.0,1,0.151,-6.694,1,0.0379,101.654,4,https://api.spotify.com/v1/tracks/7yq4Qj7cqayVTp3FF9CWbm,audio_features,0.51
20,Ultralight Beam,Kanye West,spotify:track:1eQBEelI2NCy7AUTerX0KS,0.62,https://api.spotify.com/v1/audio-analysis/1eQBEelI2NCy7AUTerX0KS,0.592,320680,0.403,1eQBEelI2NCy7AUTerX0KS,0.0,0,0.54,-8.768,0,0.414,105.169,4,https://api.spotify.com/v1/tracks/1eQBEelI2NCy7AUTerX0KS,audio_features,0.391
21,[oops],potsu,spotify:track:53pxuVsqLU3rIADN6T2COo,0.538,https://api.spotify.com/v1/audio-analysis/53pxuVsqLU3rIADN6T2COo,0.843,142183,0.256,53pxuVsqLU3rIADN6T2COo,0.114,7,0.133,-13.565,0,0.0752,68.997,4,https://api.spotify.com/v1/tracks/53pxuVsqLU3rIADN6T2COo,audio_features,0.655
22,What A Wonderful World,Louis Armstrong,spotify:track:1qCQTy0fTXerET4x8VHyr9,0.792,https://api.spotify.com/v1/audio-analysis/1qCQTy0fTXerET4x8VHyr9,0.399,137520,0.258,1qCQTy0fTXerET4x8VHyr9,1.86e-06,5,0.128,-16.028,1,0.033,108.174,3,https://api.spotify.com/v1/tracks/1qCQTy0fTXerET4x8VHyr9,audio_features,0.192
23,1950,King Princess,spotify:track:0CZ8lquoTX2Dkg7Ak2inwA,0.648,https://api.spotify.com/v1/audio-analysis/0CZ8lquoTX2Dkg7Ak2inwA,0.6,225133,0.535,0CZ8lquoTX2Dkg7Ak2inwA,4.7e-06,4,0.162,-7.043,1,0.107,71.912,4,https://api.spotify.com/v1/tracks/0CZ8lquoTX2Dkg7Ak2inwA,audio_features,0.269
24,Dissolve,Absofacto,spotify:track:7pBrj5rt4SSxXwFKOyZfHR,0.23,https://api.spotify.com/v1/audio-analysis/7pBrj5rt4SSxXwFKOyZfHR,0.688,224661,0.582,7pBrj5rt4SSxXwFKOyZfHR,0.000157,6,0.0663,-10.668,0,0.0542,85.486,4,https://api.spotify.com/v1/tracks/7pBrj5rt4SSxXwFKOyZfHR,audio_features,0.872
25,Eternal Youth,RŮDE,spotify:track:0ytvsZOerGzUWfHXVT2Sgy,0.0347,https://api.spotify.com/v1/audio-analysis/0ytvsZOerGzUWfHXVT2Sgy,0.655,205766,0.487,0ytvsZOerGzUWfHXVT2Sgy,0.897,6,0.271,-7.988,1,0.033,139.914,4,https://api.spotify.com/v1/tracks/0ytvsZOerGzUWfHXVT2Sgy,audio_features,0.0454
26,Shangri-La,SPEECHLESS,spotify:track:3fr6YASa6IOc3o7xuDuvs7,0.884,https://api.spotify.com/v1/audio-analysis/3fr6YASa6IOc3o7xuDuvs7,0.748,144016,0.65,3fr6YASa6IOc3o7xuDuvs7,0.877,4,0.0739,-7.356,1,0.0691,160.069,4,https://api.spotify.com/v1/tracks/3fr6YASa6IOc3o7xuDuvs7,audio_features,0.61
27,Tinder Samurai,Samsa,spotify:track:5AEVVL7vy44sVmK2A7cnKH,0.653,https://api.spotify.com/v1/audio-analysis/5AEVVL7vy44sVmK2A7cnKH,0.674,144872,0.61,5AEVVL7vy44sVmK2A7cnKH,0.0,5,0.295,-13.865,0,0.388,86.065,4,https://api.spotify.com/v1/tracks/5AEVVL7vy44sVmK2A7cnKH,audio_features,0.795
28,Goodbye,Russ,spotify:track:73hmUGQvCNlhDWzNPRvcx3,0.354,https://api.spotify.com/v1/audio-analysis/73hmUGQvCNlhDWzNPRvcx3,0.743,252865,0.377,73hmUGQvCNlhDWzNPRvcx3,0.0,8,0.187,-12.409,0,0.0376,112.366,3,https://api.spotify.com/v1/tracks/73hmUGQvCNlhDWzNPRvcx3,audio_features,0.556
