,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,Tanca els Ulls,Txarango,spotify:track:2hoxBso1VWz61IB4uIrJWD,0.181,https://api.spotify.com/v1/audio-analysis/2hoxBso1VWz61IB4uIrJWD,0.473,313746,0.448,2hoxBso1VWz61IB4uIrJWD,0.00629,0,0.13,-11.725,1,0.03,184.024,4,https://api.spotify.com/v1/tracks/2hoxBso1VWz61IB4uIrJWD,audio_features,0.284
1,Músic de Carrer,Txarango,spotify:track:5Eor8sbZNUxwd3GFZiFfQw,0.0305,https://api.spotify.com/v1/audio-analysis/5Eor8sbZNUxwd3GFZiFfQw,0.719,207747,0.769,5Eor8sbZNUxwd3GFZiFfQw,1.01e-06,5,0.0572,-6.997,0,0.0305,99.975,4,https://api.spotify.com/v1/tracks/5Eor8sbZNUxwd3GFZiFfQw,audio_features,0.78
2,La Vuelta al Mundo,Txarango,spotify:track:18LM2vUC16I8TWFcUMPxQe,0.0217,https://api.spotify.com/v1/audio-analysis/18LM2vUC16I8TWFcUMPxQe,0.675,181282,0.903,18LM2vUC16I8TWFcUMPxQe,0.0,9,0.129,-6.347,1,0.034,139.921,4,https://api.spotify.com/v1/tracks/18LM2vUC16I8TWFcUMPxQe,audio_features,0.888
3,El Meu Poble,Txarango,spotify:track:28tHAt6OoY64W4EZeWzoRL,0.101,https://api.spotify.com/v1/audio-analysis/28tHAt6OoY64W4EZeWzoRL,0.736,264326,0.842,28tHAt6OoY64W4EZeWzoRL,8.51e-05,7,0.353,-7.926,1,0.048,101.957,4,https://api.spotify.com/v1/tracks/28tHAt6OoY64W4EZeWzoRL,audio_features,0.719
4,Alegre i Encantada,Txarango,spotify:track:5SMAEmLhDv4h52Htba6WuH,0.0992,https://api.spotify.com/v1/audio-analysis/5SMAEmLhDv4h52Htba6WuH,0.738,209489,0.799,5SMAEmLhDv4h52Htba6WuH,0.0,8,0.13,-7.666,0,0.0388,103.971,4,https://api.spotify.com/v1/tracks/5SMAEmLhDv4h52Htba6WuH,audio_features,0.921
5,Som un Riu,Txarango,spotify:track:6FXmJdGS5uNEmU3eS6ge5o,0.0162,https://api.spotify.com/v1/audio-analysis/6FXmJdGS5uNEmU3eS6ge5o,0.663,275759,0.836,6FXmJdGS5uNEmU3eS6ge5o,0.0,1,0.0798,-7.512,0,0.0446,110.05,4,https://api.spotify.com/v1/tracks/6FXmJdGS5uNEmU3eS6ge5o,audio_features,0.907
6,Governant,Txarango,spotify:track:6eS2JZIFJ7VjW0IzfmyfKR,0.091,https://api.spotify.com/v1/audio-analysis/6eS2JZIFJ7VjW0IzfmyfKR,0.704,242284,0.667,6eS2JZIFJ7VjW0IzfmyfKR,0.0,7,0.331,-8.886,1,0.0329,92.995,4,https://api.spotify.com/v1/tracks/6eS2JZIFJ7VjW0IzfmyfKR,audio_features,0.686
7,Batega,Txarango,spotify:track:4n4eyXhlZcuA87xzHCs5Zq,0.0684,https://api.spotify.com/v1/audio-analysis/4n4eyXhlZcuA87xzHCs5Zq,0.596,274831,0.528,4n4eyXhlZcuA87xzHCs5Zq,0.00025,10,0.232,-9.434,1,0.0376,78.003,4,https://api.spotify.com/v1/tracks/4n4eyXhlZcuA87xzHCs5Zq,audio_features,0.59
8,Corazón Viajero,Txarango,spotify:track:67avCRbyqVlDwZMxDfznvU,0.0597,https://api.spotify.com/v1/audio-analysis/67avCRbyqVlDwZMxDfznvU,0.718,230507,0.89,67avCRbyqVlDwZMxDfznvU,0.0,11,0.099,-7.395,1,0.0389,114.036,4,https://api.spotify.com/v1/tracks/67avCRbyqVlDwZMxDfznvU,audio_features,0.963
9,Camp de Batalla,Txarango,spotify:track:3mjXqvgkjWrZJtlNlDypbO,0.189,https://api.spotify.com/v1/audio-analysis/3mjXqvgkjWrZJtlNlDypbO,0.718,222979,0.777,3mjXqvgkjWrZJtlNlDypbO,4.89e-06,3,0.356,-8.489,1,0.0428,99.965,4,https://api.spotify.com/v1/tracks/3mjXqvgkjWrZJtlNlDypbO,audio_features,0.591
