,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,Alive and Kicking - Live,Simple Minds,spotify:track:5MqOZ9Y8Nkux9XBOyCjRkR,0.0246,https://api.spotify.com/v1/audio-analysis/5MqOZ9Y8Nkux9XBOyCjRkR,0.509,367773,0.901,5MqOZ9Y8Nkux9XBOyCjRkR,0.00177,0,0.972,-5.285,1,0.0385,102.974,4,https://api.spotify.com/v1/tracks/5MqOZ9Y8Nkux9XBOyCjRkR,audio_features,0.342
1,Like A Prayer - Live,Madonna,spotify:track:3tCju1JTPE18ArXijsHxtg,0.351,https://api.spotify.com/v1/audio-analysis/3tCju1JTPE18ArXijsHxtg,0.596,252160,0.852,3tCju1JTPE18ArXijsHxtg,0.0,5,0.932,-5.656,1,0.117,114.541,4,https://api.spotify.com/v1/tracks/3tCju1JTPE18ArXijsHxtg,audio_features,0.129
2,The Look - Live In Sydney,Roxette,spotify:track:12L3f3ai5AlF0aeXNLmWBo,0.000497,https://api.spotify.com/v1/audio-analysis/12L3f3ai5AlF0aeXNLmWBo,0.489,332400,0.906,12L3f3ai5AlF0aeXNLmWBo,0.00531,2,0.686,-5.743,1,0.0409,97.089,4,https://api.spotify.com/v1/tracks/12L3f3ai5AlF0aeXNLmWBo,audio_features,0.369
3,"Rocket Man - Live At Hammersmith Odeon, London/ 1973",Elton John,spotify:track:5KlPlpwziNHxLBfGXjijyl,0.586,https://api.spotify.com/v1/audio-analysis/5KlPlpwziNHxLBfGXjijyl,0.462,295081,0.454,5KlPlpwziNHxLBfGXjijyl,0.000465,10,0.75,-12.708,1,0.0401,134.54,4,https://api.spotify.com/v1/tracks/5KlPlpwziNHxLBfGXjijyl,audio_features,0.474
4,Because the Night - Live Unplugged,"10,000 Maniacs",spotify:track:5VzvK7YiwWbRePA2JOzhYq,0.26,https://api.spotify.com/v1/audio-analysis/5VzvK7YiwWbRePA2JOzhYq,0.408,223373,0.79,5VzvK7YiwWbRePA2JOzhYq,0.00027,11,0.765,-8.138,0,0.103,122.624,4,https://api.spotify.com/v1/tracks/5VzvK7YiwWbRePA2JOzhYq,audio_features,0.347
5,"We Didn't Start The Fire - Live at Shea Stadium, Queens, NY - July 2008",Billy Joel,spotify:track:3SKxKQHqWRb08nKyK0Ovdu,0.106,https://api.spotify.com/v1/audio-analysis/3SKxKQHqWRb08nKyK0Ovdu,0.492,314107,0.975,3SKxKQHqWRb08nKyK0Ovdu,0.0,7,0.995,-2.658,1,0.0938,147.396,4,https://api.spotify.com/v1/tracks/3SKxKQHqWRb08nKyK0Ovdu,audio_features,0.364
6,"Always on My Mind - Live at the O2 Arena, London - 21 December 2009",Pet Shop Boys,spotify:track:78j9FMDQ5hRt0JTDHYEvg3,0.00132,https://api.spotify.com/v1/audio-analysis/78j9FMDQ5hRt0JTDHYEvg3,0.517,223227,0.993,78j9FMDQ5hRt0JTDHYEvg3,0.0822,7,0.989,-3.894,1,0.0748,126.137,4,https://api.spotify.com/v1/tracks/78j9FMDQ5hRt0JTDHYEvg3,audio_features,0.362
7,Lightning Crashes - Live At The Paradiso,Live,spotify:track:40m7VRlnKUXQu0p1GTyzBf,0.194,https://api.spotify.com/v1/audio-analysis/40m7VRlnKUXQu0p1GTyzBf,0.201,344267,0.616,40m7VRlnKUXQu0p1GTyzBf,0.0,11,0.755,-8.158,1,0.0574,83.6,4,https://api.spotify.com/v1/tracks/40m7VRlnKUXQu0p1GTyzBf,audio_features,0.427
8,Knockin' On Heaven's Door - Live In London / 1992,Guns N' Roses,spotify:track:3jPFK3Fx7CB1hZKd4em3uL,0.00193,https://api.spotify.com/v1/audio-analysis/3jPFK3Fx7CB1hZKd4em3uL,0.258,447333,0.888,3jPFK3Fx7CB1hZKd4em3uL,0.00851,6,0.995,-6.018,1,0.0886,73.841,4,https://api.spotify.com/v1/tracks/3jPFK3Fx7CB1hZKd4em3uL,audio_features,0.355
9,Elevation - 2005 Live From Milan,U2,spotify:track:0Wtn6dTfc7VINmUPPlUD2M,0.000396,https://api.spotify.com/v1/audio-analysis/0Wtn6dTfc7VINmUPPlUD2M,0.208,352693,0.709,0Wtn6dTfc7VINmUPPlUD2M,4.47e-06,9,0.989,-4.755,1,0.0413,112.493,4,https://api.spotify.com/v1/tracks/0Wtn6dTfc7VINmUPPlUD2M,audio_features,0.144
10,Dream On - Live Version (Edit),Aerosmith,spotify:track:2WZbjDTXP78H9xq58cnSWF,0.0922,https://api.spotify.com/v1/audio-analysis/2WZbjDTXP78H9xq58cnSWF,0.262,293267,0.711,2WZbjDTXP78H9xq58cnSWF,0.00382,5,0.975,-5.623,0,0.0304,149.21,4,https://api.spotify.com/v1/tracks/2WZbjDTXP78H9xq58cnSWF,audio_features,0.208
11,"Highway to Hell - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",AC/DC,spotify:track:7vTCGXUv3XOKScExgMtmel,0.0167,https://api.spotify.com/v1/audio-analysis/7vTCGXUv3XOKScExgMtmel,0.3,284253,0.973,7vTCGXUv3XOKScExgMtmel,0.0,1,0.959,-5.142,1,0.116,124.496,4,https://api.spotify.com/v1/tracks/7vTCGXUv3XOKScExgMtmel,audio_features,0.227
12,Enter Sandman (Live in Mexico City),Metallica,spotify:track:1cOg1F1pmkzV2EA3ECUTuH,0.00029,https://api.spotify.com/v1/audio-analysis/1cOg1F1pmkzV2EA3ECUTuH,0.223,447773,0.953,1cOg1F1pmkzV2EA3ECUTuH,0.525,4,0.611,-6.617,0,0.115,133.322,4,https://api.spotify.com/v1/tracks/1cOg1F1pmkzV2EA3ECUTuH,audio_features,0.0469
13,Wanted Dead Or Alive - Live (2000/China Club),Bon Jovi,spotify:track:1micpKIAP4CZFHWRW2NaFg,0.0349,https://api.spotify.com/v1/audio-analysis/1micpKIAP4CZFHWRW2NaFg,0.279,360160,0.643,1micpKIAP4CZFHWRW2NaFg,8.32e-05,6,0.698,-5.23,1,0.0364,149.159,3,https://api.spotify.com/v1/tracks/1micpKIAP4CZFHWRW2NaFg,audio_features,0.258
14,Hotel California - Live; 1999 Remaster,Eagles,spotify:track:5JU7FgGJqgGPUaJA2nhZvm,0.0136,https://api.spotify.com/v1/audio-analysis/5JU7FgGJqgGPUaJA2nhZvm,0.411,420440,0.855,5JU7FgGJqgGPUaJA2nhZvm,0.0374,2,0.988,-6.658,1,0.0565,150.933,4,https://api.spotify.com/v1/tracks/5JU7FgGJqgGPUaJA2nhZvm,audio_features,0.547
15,With Or Without You - 2005 Live From Milan,U2,spotify:track:6XycrlF3xRVl5sVkY2wRDE,0.00333,https://api.spotify.com/v1/audio-analysis/6XycrlF3xRVl5sVkY2wRDE,0.537,386027,0.726,6XycrlF3xRVl5sVkY2wRDE,0.0136,1,0.976,-5.424,1,0.0302,110.785,4,https://api.spotify.com/v1/tracks/6XycrlF3xRVl5sVkY2wRDE,audio_features,0.0808
16,"Thunderstruck - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",AC/DC,spotify:track:7eHlRQ5acXEIMdGAKe00fO,0.000842,https://api.spotify.com/v1/audio-analysis/7eHlRQ5acXEIMdGAKe00fO,0.315,332493,0.982,7eHlRQ5acXEIMdGAKe00fO,3.48e-05,3,0.982,-4.872,1,0.109,130.095,4,https://api.spotify.com/v1/tracks/7eHlRQ5acXEIMdGAKe00fO,audio_features,0.327
17,Viva La Vida - Live,Coldplay,spotify:track:5ZV67iTfNpW3ueMCELLiSX,0.0123,https://api.spotify.com/v1/audio-analysis/5ZV67iTfNpW3ueMCELLiSX,0.452,298333,0.821,5ZV67iTfNpW3ueMCELLiSX,0.09,5,0.874,-6.828,0,0.0397,137.965,4,https://api.spotify.com/v1/tracks/5ZV67iTfNpW3ueMCELLiSX,audio_features,0.338
18,"Magic - Live at the Enmore Theatre, Sydney",Coldplay,spotify:track:3bVwuZb0nYvAMn3roElQnY,0.18,https://api.spotify.com/v1/audio-analysis/3bVwuZb0nYvAMn3roElQnY,0.5,292147,0.502,3bVwuZb0nYvAMn3roElQnY,0.0887,6,0.729,-11.775,0,0.0424,93.361,4,https://api.spotify.com/v1/tracks/3bVwuZb0nYvAMn3roElQnY,audio_features,0.362
19,What's Love Got to Do with It - Live,Tina Turner,spotify:track:4DwLgE8L8KGZJUcgpXyaTX,0.217,https://api.spotify.com/v1/audio-analysis/4DwLgE8L8KGZJUcgpXyaTX,0.626,328427,0.645,4DwLgE8L8KGZJUcgpXyaTX,1.95e-06,2,0.763,-13.806,1,0.0557,100.527,4,https://api.spotify.com/v1/tracks/4DwLgE8L8KGZJUcgpXyaTX,audio_features,0.62
20,Come As You Are - 1992/Live at Reading,Nirvana,spotify:track:57bJXivj8NfICIzPgNr08Z,0.00112,https://api.spotify.com/v1/audio-analysis/57bJXivj8NfICIzPgNr08Z,0.334,216333,0.965,57bJXivj8NfICIzPgNr08Z,0.499,1,0.803,-7.659,1,0.0509,123.393,4,https://api.spotify.com/v1/tracks/57bJXivj8NfICIzPgNr08Z,audio_features,0.347
21,"Born To Run - Live at Giants Stadium, E. Rutherford, NJ - August 1985",Bruce Springsteen,spotify:track:4NlTkpLl3et1aXKP9H46y8,0.00391,https://api.spotify.com/v1/audio-analysis/4NlTkpLl3et1aXKP9H46y8,0.316,302667,0.922,4NlTkpLl3et1aXKP9H46y8,0.000279,4,0.982,-11.399,1,0.0823,142.87,4,https://api.spotify.com/v1/tracks/4NlTkpLl3et1aXKP9H46y8,audio_features,0.338
22,Angels,Robbie Williams,spotify:track:2EU5LDgtGnh8RTz7VGlGoR,0.00673,https://api.spotify.com/v1/audio-analysis/2EU5LDgtGnh8RTz7VGlGoR,0.229,355667,0.903,2EU5LDgtGnh8RTz7VGlGoR,1.02e-05,4,0.948,-4.321,1,0.0664,150.08,4,https://api.spotify.com/v1/tracks/2EU5LDgtGnh8RTz7VGlGoR,audio_features,0.266
23,Ordinary World - Live,Duran Duran,spotify:track:6ga5HCFpVT22sYLoBNN5X6,0.00283,https://api.spotify.com/v1/audio-analysis/6ga5HCFpVT22sYLoBNN5X6,0.344,372120,0.746,6ga5HCFpVT22sYLoBNN5X6,0.000233,1,0.982,-5.103,0,0.0388,139.841,4,https://api.spotify.com/v1/tracks/6ga5HCFpVT22sYLoBNN5X6,audio_features,0.314
24,Easy Lover - Live,Phil Collins,spotify:track:0y3yEUS8KT9jHwHTsaAPp3,0.198,https://api.spotify.com/v1/audio-analysis/0y3yEUS8KT9jHwHTsaAPp3,0.573,286733,0.946,0y3yEUS8KT9jHwHTsaAPp3,1.09e-05,0,0.927,-8.248,1,0.0397,131.664,4,https://api.spotify.com/v1/tracks/0y3yEUS8KT9jHwHTsaAPp3,audio_features,0.644
25,View To A Kill - Live,Duran Duran,spotify:track:5b3MW8k8HdCzRDthcSLoN6,0.00154,https://api.spotify.com/v1/audio-analysis/5b3MW8k8HdCzRDthcSLoN6,0.588,234720,0.929,5b3MW8k8HdCzRDthcSLoN6,0.000525,6,0.918,-4.236,1,0.0742,125.464,4,https://api.spotify.com/v1/tracks/5b3MW8k8HdCzRDthcSLoN6,audio_features,0.538
26,"Sweet Emotion - Live at Huntington Civic Center, Huntington, WV - Dec. 1982",Aerosmith,spotify:track:67PI6YO4x9vZf9uwc1ySg2,0.065,https://api.spotify.com/v1/audio-analysis/67PI6YO4x9vZf9uwc1ySg2,0.22,313400,0.951,67PI6YO4x9vZf9uwc1ySg2,0.00168,2,0.994,-9.935,1,0.145,102.541,4,https://api.spotify.com/v1/tracks/67PI6YO4x9vZf9uwc1ySg2,audio_features,0.188
27,Tear It Up - Live At Wembley Stadium / July 1986,Queen,spotify:track:3yZPO7d46XeyjrpAmtqpJT,0.0317,https://api.spotify.com/v1/audio-analysis/3yZPO7d46XeyjrpAmtqpJT,0.153,132227,0.985,3yZPO7d46XeyjrpAmtqpJT,0.000383,7,0.747,-3.974,1,0.0899,96.463,4,https://api.spotify.com/v1/tracks/3yZPO7d46XeyjrpAmtqpJT,audio_features,0.182
28,Mama - Live,Genesis,spotify:track:1Ml2k2Zr1DqM3uHX9VYsX5,0.00546,https://api.spotify.com/v1/audio-analysis/1Ml2k2Zr1DqM3uHX9VYsX5,0.343,440093,0.7,1Ml2k2Zr1DqM3uHX9VYsX5,0.0296,2,0.752,-15.579,1,0.0944,72.657,1,https://api.spotify.com/v1/tracks/1Ml2k2Zr1DqM3uHX9VYsX5,audio_features,0.183
29,Thunder - Live/Acoustic,Imagine Dragons,spotify:track:5UYKsmfKDhUcDwI80VneBM,0.0544,https://api.spotify.com/v1/audio-analysis/5UYKsmfKDhUcDwI80VneBM,0.477,214000,0.717,5UYKsmfKDhUcDwI80VneBM,0.0,4,0.0605,-4.761,1,0.149,169.185,4,https://api.spotify.com/v1/tracks/5UYKsmfKDhUcDwI80VneBM,audio_features,0.771
30,"Better Man - Live at Rushmore Civic Center Arena, Rapid City, SD - June 1998",Pearl Jam,spotify:track:4hnw9aR6K6NmDl5FRmMsWU,0.0753,https://api.spotify.com/v1/audio-analysis/4hnw9aR6K6NmDl5FRmMsWU,0.292,246067,0.806,4hnw9aR6K6NmDl5FRmMsWU,3.27e-06,2,0.802,-7.689,1,0.0623,130.429,4,https://api.spotify.com/v1/tracks/4hnw9aR6K6NmDl5FRmMsWU,audio_features,0.188
