,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,"Wiegenlied (Lullaby), Op. 49, No. 4",Johannes Brahms,spotify:track:0wTcE2iYQXAlfObEIpBYiL,0.996,https://api.spotify.com/v1/audio-analysis/0wTcE2iYQXAlfObEIpBYiL,0.422,94000,0.047,0wTcE2iYQXAlfObEIpBYiL,0.929,7,0.0985,-28.732,1,0.0411,77.236,3,https://api.spotify.com/v1/tracks/0wTcE2iYQXAlfObEIpBYiL,audio_features,0.33
1,Clair de Lune,Claude Debussy,spotify:track:0inouVIHXrd0aeDxSF0D39,0.994,https://api.spotify.com/v1/audio-analysis/0inouVIHXrd0aeDxSF0D39,0.376,310962,0.0236,0inouVIHXrd0aeDxSF0D39,0.932,1,0.103,-27.334,1,0.0552,72.005,5,https://api.spotify.com/v1/tracks/0inouVIHXrd0aeDxSF0D39,audio_features,0.0391
2,Somewhere in Time,John Barry,spotify:track:3EJ6QeSgTEfWQTtfPAt2FX,0.995,https://api.spotify.com/v1/audio-analysis/3EJ6QeSgTEfWQTtfPAt2FX,0.391,162000,0.00683,3EJ6QeSgTEfWQTtfPAt2FX,0.9,0,0.0875,-30.972,1,0.0371,68.724,5,https://api.spotify.com/v1/tracks/3EJ6QeSgTEfWQTtfPAt2FX,audio_features,0.163
3,"Piano Concerto No. 20 in D Minor, K. 466: 2. Romance",Wolfgang Amadeus Mozart,spotify:track:26XPiuw4kauZ0EcRxmEKuF,0.993,https://api.spotify.com/v1/audio-analysis/26XPiuw4kauZ0EcRxmEKuF,0.568,257429,0.034,26XPiuw4kauZ0EcRxmEKuF,0.943,5,0.0984,-25.126,1,0.0481,134.11,4,https://api.spotify.com/v1/tracks/26XPiuw4kauZ0EcRxmEKuF,audio_features,0.216
4,Song From a Secret Garden,Rogerio Tutti,spotify:track:27CvLP60mw10i3nQCg7r4L,0.996,https://api.spotify.com/v1/audio-analysis/27CvLP60mw10i3nQCg7r4L,0.35,207250,0.00605,27CvLP60mw10i3nQCg7r4L,0.916,0,0.0759,-34.184,0,0.0435,65.73,4,https://api.spotify.com/v1/tracks/27CvLP60mw10i3nQCg7r4L,audio_features,0.155
5,Liebestraum No. 3,Franz Liszt,spotify:track:7704CXVOWAa856zN15RR2h,0.995,https://api.spotify.com/v1/audio-analysis/7704CXVOWAa856zN15RR2h,0.373,197019,0.00431,7704CXVOWAa856zN15RR2h,0.933,8,0.112,-33.286,1,0.0565,70.045,4,https://api.spotify.com/v1/tracks/7704CXVOWAa856zN15RR2h,audio_features,0.0389
6,"Nocturne No. 2 in E-Flat, Op. 9 No. 2",Rogerio Tutti,spotify:track:7oTPbWMugV5RCF940vThJR,0.991,https://api.spotify.com/v1/audio-analysis/7oTPbWMugV5RCF940vThJR,0.414,267600,0.0136,7oTPbWMugV5RCF940vThJR,0.908,10,0.0897,-31.31,1,0.0452,105.472,4,https://api.spotify.com/v1/tracks/7oTPbWMugV5RCF940vThJR,audio_features,0.0533
7,Nimrod from Enigma Variations (Arr. for Piano),Edward Elgar,spotify:track:1YDwC1B01XovEiPZiOVSUn,0.995,https://api.spotify.com/v1/audio-analysis/1YDwC1B01XovEiPZiOVSUn,0.595,242700,0.00173,1YDwC1B01XovEiPZiOVSUn,0.946,3,0.111,-37.868,1,0.151,66.627,4,https://api.spotify.com/v1/tracks/1YDwC1B01XovEiPZiOVSUn,audio_features,0.18
8,Edelweiss,Bae Bee,spotify:track:1w7lXdrFFWrYsMy8xaK2Ph,0.994,https://api.spotify.com/v1/audio-analysis/1w7lXdrFFWrYsMy8xaK2Ph,0.474,154325,0.00319,1w7lXdrFFWrYsMy8xaK2Ph,0.955,10,0.0809,-28.95,1,0.0609,79.464,3,https://api.spotify.com/v1/tracks/1w7lXdrFFWrYsMy8xaK2Ph,audio_features,0.6
9,"Orchestral Suite No. 3 in D Major, BWV 1068: II. Aria (Arr. for Piano)",Johann Sebastian Bach,spotify:track:00RkT5yPrdQ6n5p4IrRIYd,0.995,https://api.spotify.com/v1/audio-analysis/00RkT5yPrdQ6n5p4IrRIYd,0.501,344712,0.00752,00RkT5yPrdQ6n5p4IrRIYd,0.911,2,0.0798,-31.887,1,0.0401,104.041,4,https://api.spotify.com/v1/tracks/00RkT5yPrdQ6n5p4IrRIYd,audio_features,0.104
10,Barcarolle,Giselle Bardot,spotify:track:2mFGdyO538E9gQf32JFWjO,0.994,https://api.spotify.com/v1/audio-analysis/2mFGdyO538E9gQf32JFWjO,0.385,184501,0.0483,2mFGdyO538E9gQf32JFWjO,0.935,11,0.134,-27.242,0,0.0527,127.635,4,https://api.spotify.com/v1/tracks/2mFGdyO538E9gQf32JFWjO,audio_features,0.0942
11,Kiss the Rain,Yiruma,spotify:track:4qto2kJITIHyE086P4WtkU,0.99,https://api.spotify.com/v1/audio-analysis/4qto2kJITIHyE086P4WtkU,0.557,300413,0.0958,4qto2kJITIHyE086P4WtkU,0.872,8,0.145,-18.457,1,0.0542,112.819,4,https://api.spotify.com/v1/tracks/4qto2kJITIHyE086P4WtkU,audio_features,0.202
12,Joy,Louis Breedlove,spotify:track:5GDc0RPN14wwt9wooKhI0O,0.995,https://api.spotify.com/v1/audio-analysis/5GDc0RPN14wwt9wooKhI0O,0.203,227163,0.0189,5GDc0RPN14wwt9wooKhI0O,0.925,10,0.142,-28.693,1,0.0446,190.84,4,https://api.spotify.com/v1/tracks/5GDc0RPN14wwt9wooKhI0O,audio_features,0.348
13,Nocturne Op. 9 No. 2,Frédéric Chopin,spotify:track:6cOdfdAUTfLBonAFHfDsGp,0.992,https://api.spotify.com/v1/audio-analysis/6cOdfdAUTfLBonAFHfDsGp,0.336,225577,0.00834,6cOdfdAUTfLBonAFHfDsGp,0.955,3,0.0948,-31.226,1,0.0555,75.791,3,https://api.spotify.com/v1/tracks/6cOdfdAUTfLBonAFHfDsGp,audio_features,0.061
