,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,Take Me To Church,Hozier,spotify:track:7dS5EaCoMnN7DzlpT6aRn2,0.634,https://api.spotify.com/v1/audio-analysis/7dS5EaCoMnN7DzlpT6aRn2,0.566,241688,0.664,7dS5EaCoMnN7DzlpT6aRn2,0.0,4,0.116,-5.303,0,0.0464,128.945,4,https://api.spotify.com/v1/tracks/7dS5EaCoMnN7DzlpT6aRn2,audio_features,0.437
1,Cooler Than Me - Single Mix,Mike Posner,spotify:track:2V4bv1fNWfTcyRJKmej6Sj,0.179,https://api.spotify.com/v1/audio-analysis/2V4bv1fNWfTcyRJKmej6Sj,0.768,213293,0.82,2V4bv1fNWfTcyRJKmej6Sj,0.0,7,0.704,-4.63,0,0.0475,129.969,4,https://api.spotify.com/v1/tracks/2V4bv1fNWfTcyRJKmej6Sj,audio_features,0.625
2,See You Again (feat. Kali Uchis),"Tyler, The Creator",spotify:track:7KA4W4McWYRpgf0fWsJZWB,0.371,https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB,0.558,180387,0.559,7KA4W4McWYRpgf0fWsJZWB,7.49e-06,6,0.109,-9.222,1,0.0959,78.558,4,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB,audio_features,0.62
3,Pompeii,Bastille,spotify:track:3gbBpTdY8lnQwqxNCcf795,0.0755,https://api.spotify.com/v1/audio-analysis/3gbBpTdY8lnQwqxNCcf795,0.679,214148,0.715,3gbBpTdY8lnQwqxNCcf795,0.0,9,0.271,-6.383,1,0.0407,127.435,4,https://api.spotify.com/v1/tracks/3gbBpTdY8lnQwqxNCcf795,audio_features,0.571
4,Hips Don't Lie (feat. Wyclef Jean),Shakira,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,0.284,https://api.spotify.com/v1/audio-analysis/3ZFTkvIE7kyPt6Nu3PEa7V,0.778,218093,0.824,3ZFTkvIE7kyPt6Nu3PEa7V,0.0,10,0.405,-5.892,0,0.0712,100.024,4,https://api.spotify.com/v1/tracks/3ZFTkvIE7kyPt6Nu3PEa7V,audio_features,0.756
5,Hall of Fame (feat. will.i.am),The Script,spotify:track:7wMq5n8mYSKlQIGECKUgTX,0.0653,https://api.spotify.com/v1/audio-analysis/7wMq5n8mYSKlQIGECKUgTX,0.421,202533,0.873,7wMq5n8mYSKlQIGECKUgTX,0.0,10,0.123,-4.343,1,0.0565,84.803,4,https://api.spotify.com/v1/tracks/7wMq5n8mYSKlQIGECKUgTX,audio_features,0.63
6,Back Where I Belong (feat. Avicii),Otto Knows,spotify:track:78W8wiUIlQ2SnWY9TVowKZ,0.0306,https://api.spotify.com/v1/audio-analysis/78W8wiUIlQ2SnWY9TVowKZ,0.497,174203,0.865,78W8wiUIlQ2SnWY9TVowKZ,0.0679,0,0.443,-3.19,1,0.0644,125.96,4,https://api.spotify.com/v1/tracks/78W8wiUIlQ2SnWY9TVowKZ,audio_features,0.595
7,The Heart Wants What It Wants,Selena Gomez,spotify:track:2jcPoPin36hyNRSi4ZsqeB,0.053,https://api.spotify.com/v1/audio-analysis/2jcPoPin36hyNRSi4ZsqeB,0.616,227373,0.789,2jcPoPin36hyNRSi4ZsqeB,0.0,7,0.142,-4.874,0,0.0377,83.066,4,https://api.spotify.com/v1/tracks/2jcPoPin36hyNRSi4ZsqeB,audio_features,0.621
8,Dynamite,Taio Cruz,spotify:track:2CEgGE6aESpnmtfiZwYlbV,0.00379,https://api.spotify.com/v1/audio-analysis/2CEgGE6aESpnmtfiZwYlbV,0.751,202613,0.783,2CEgGE6aESpnmtfiZwYlbV,0.0,4,0.036,-3.724,1,0.0859,119.975,4,https://api.spotify.com/v1/tracks/2CEgGE6aESpnmtfiZwYlbV,audio_features,0.816
9,Bumpy Ride,Mohombi,spotify:track:0tBRo4P60DgKmg4jt48upm,0.047,https://api.spotify.com/v1/audio-analysis/0tBRo4P60DgKmg4jt48upm,0.709,224402,0.854,0tBRo4P60DgKmg4jt48upm,0.0,0,0.0724,-4.447,0,0.0399,105.074,4,https://api.spotify.com/v1/tracks/0tBRo4P60DgKmg4jt48upm,audio_features,0.826
10,Danza Kuduro (feat. Don Omar),Lucenzo,spotify:track:1kAZhbcsXqfUjnVeqPywn2,0.0855,https://api.spotify.com/v1/audio-analysis/1kAZhbcsXqfUjnVeqPywn2,0.706,202347,0.89,1kAZhbcsXqfUjnVeqPywn2,0.0,0,0.0465,-6.575,1,0.0847,130.051,4,https://api.spotify.com/v1/tracks/1kAZhbcsXqfUjnVeqPywn2,audio_features,0.896
11,Syypää sun hymyyn (feat. Yasmine Yamajako),Cheek,spotify:track:2N2QvMYwyYHE8V4KZbbG4i,0.171,https://api.spotify.com/v1/audio-analysis/2N2QvMYwyYHE8V4KZbbG4i,0.472,230413,0.815,2N2QvMYwyYHE8V4KZbbG4i,0.0,9,0.265,-4.002,0,0.319,98.017,4,https://api.spotify.com/v1/tracks/2N2QvMYwyYHE8V4KZbbG4i,audio_features,0.81
