,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,Sail,DevilDriver,spotify:track:2QusYlHgyVRNu05c36wWlJ,0.000676,https://api.spotify.com/v1/audio-analysis/2QusYlHgyVRNu05c36wWlJ,0.455,246480,0.965,2QusYlHgyVRNu05c36wWlJ,0.00784,3,0.226,-4.24,0,0.0826,119.04,4,https://api.spotify.com/v1/tracks/2QusYlHgyVRNu05c36wWlJ,audio_features,0.155
1,Psychosocial,Slipknot,spotify:track:3RAFcUBrCNaboRXoP3S5t1,0.00269,https://api.spotify.com/v1/audio-analysis/3RAFcUBrCNaboRXoP3S5t1,0.568,284120,0.981,3RAFcUBrCNaboRXoP3S5t1,0.00275,2,0.0243,-3.889,1,0.0887,135.146,4,https://api.spotify.com/v1/tracks/3RAFcUBrCNaboRXoP3S5t1,audio_features,0.307
2,Obsidian,Stringlight,spotify:track:2FSMaIcox2oxrPfR0j8dOY,0.00012,https://api.spotify.com/v1/audio-analysis/2FSMaIcox2oxrPfR0j8dOY,0.527,295529,0.854,2FSMaIcox2oxrPfR0j8dOY,0.909,2,0.371,-11.65,0,0.0478,103.99,3,https://api.spotify.com/v1/tracks/2FSMaIcox2oxrPfR0j8dOY,audio_features,0.144
3,Cemetery Gates,Pantera,spotify:track:4vJr55lngvhSM8WIh9CjQc,0.000212,https://api.spotify.com/v1/audio-analysis/4vJr55lngvhSM8WIh9CjQc,0.274,422933,0.726,4vJr55lngvhSM8WIh9CjQc,0.0113,9,0.0993,-11.541,1,0.0449,146.449,4,https://api.spotify.com/v1/tracks/4vJr55lngvhSM8WIh9CjQc,audio_features,0.426
4,Walk with Me In Hell,Lamb of God,spotify:track:6vjvewW34Y3UiGQtJokGlY,3.39e-05,https://api.spotify.com/v1/audio-analysis/6vjvewW34Y3UiGQtJokGlY,0.286,311507,0.982,6vjvewW34Y3UiGQtJokGlY,0.00675,0,0.309,-3.828,0,0.131,110.629,4,https://api.spotify.com/v1/tracks/6vjvewW34Y3UiGQtJokGlY,audio_features,0.118
5,The Spirit of the Wolf,Ravenstorm,spotify:track:5cvpL1ncWYPJDgqIHCBBwx,2.29e-05,https://api.spotify.com/v1/audio-analysis/5cvpL1ncWYPJDgqIHCBBwx,0.344,345860,0.932,5cvpL1ncWYPJDgqIHCBBwx,0.488,4,0.258,-7.125,0,0.0929,142.332,3,https://api.spotify.com/v1/tracks/5cvpL1ncWYPJDgqIHCBBwx,audio_features,0.116
6,Fight Song,TIDALWAVE,spotify:track:5JnLJkIWFszlH9apiGU824,9.08e-05,https://api.spotify.com/v1/audio-analysis/5JnLJkIWFszlH9apiGU824,0.381,147516,0.888,5JnLJkIWFszlH9apiGU824,0.0,0,0.252,-5.201,1,0.0485,144.116,4,https://api.spotify.com/v1/tracks/5JnLJkIWFszlH9apiGU824,audio_features,0.493
7,Down with the Sickness,Disturbed,spotify:track:40rvBMQizxkIqnjPdEWY1v,0.000996,https://api.spotify.com/v1/audio-analysis/40rvBMQizxkIqnjPdEWY1v,0.695,279213,0.876,40rvBMQizxkIqnjPdEWY1v,6.89e-06,3,0.106,-4.262,0,0.0553,89.954,4,https://api.spotify.com/v1/tracks/40rvBMQizxkIqnjPdEWY1v,audio_features,0.941
8,Immigrant Song,Kill the Ideal,spotify:track:1zRs3LZ8yPPDPvBdff1yD1,4.04e-05,https://api.spotify.com/v1/audio-analysis/1zRs3LZ8yPPDPvBdff1yD1,0.423,154435,0.879,1zRs3LZ8yPPDPvBdff1yD1,0.0432,2,0.351,-3.309,1,0.0734,114.9,4,https://api.spotify.com/v1/tracks/1zRs3LZ8yPPDPvBdff1yD1,audio_features,0.228
9,Laid to Rest,Lamb of God,spotify:track:1yc53HK08sDab7PDFgnLWk,0.000293,https://api.spotify.com/v1/audio-analysis/1yc53HK08sDab7PDFgnLWk,0.366,230127,0.956,1yc53HK08sDab7PDFgnLWk,0.00447,10,0.449,-3.725,0,0.108,104.016,3,https://api.spotify.com/v1/tracks/1yc53HK08sDab7PDFgnLWk,audio_features,0.159
10,Deadhead,TIDALWAVE,spotify:track:4dPvb0jPV6hF9Vc90fxXXB,0.000472,https://api.spotify.com/v1/audio-analysis/4dPvb0jPV6hF9Vc90fxXXB,0.379,143762,0.965,4dPvb0jPV6hF9Vc90fxXXB,0.0,8,0.205,-5.435,1,0.0823,79.996,4,https://api.spotify.com/v1/tracks/4dPvb0jPV6hF9Vc90fxXXB,audio_features,0.196
11,Walk,Pantera,spotify:track:7fcfNW0XxTWlwVlftzfDOR,0.000155,https://api.spotify.com/v1/audio-analysis/7fcfNW0XxTWlwVlftzfDOR,0.43,315120,0.704,7fcfNW0XxTWlwVlftzfDOR,0.00221,1,0.0933,-8.008,0,0.0804,118.242,4,https://api.spotify.com/v1/tracks/7fcfNW0XxTWlwVlftzfDOR,audio_features,0.703
12,Before I Forget,Slipknot,spotify:track:6wqJeItl3Vc3az4ZicSQAB,0.0177,https://api.spotify.com/v1/audio-analysis/6wqJeItl3Vc3az4ZicSQAB,0.291,278600,0.974,6wqJeItl3Vc3az4ZicSQAB,5.44e-06,6,0.886,-2.997,0,0.171,134.724,4,https://api.spotify.com/v1/tracks/6wqJeItl3Vc3az4ZicSQAB,audio_features,0.348
13,Stricken,Disturbed,spotify:track:6RJdYpFQwLyNfDc5FbjkgV,8.51e-05,https://api.spotify.com/v1/audio-analysis/6RJdYpFQwLyNfDc5FbjkgV,0.404,245227,0.969,6RJdYpFQwLyNfDc5FbjkgV,0.0114,8,0.268,-2.938,1,0.195,173.878,4,https://api.spotify.com/v1/tracks/6RJdYpFQwLyNfDc5FbjkgV,audio_features,0.29
