,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,"Mirror, Mirror",Blind Guardian,spotify:track:1Q1xUFhz5zXZS3qOjwKwJd,0.00953,https://api.spotify.com/v1/audio-analysis/1Q1xUFhz5zXZS3qOjwKwJd,0.313,305993,0.958,1Q1xUFhz5zXZS3qOjwKwJd,0.000216,0,0.19,-5.831,1,0.0861,177.98,4,https://api.spotify.com/v1/tracks/1Q1xUFhz5zXZS3qOjwKwJd,audio_features,0.206
1,Crimson Thunder,HammerFall,spotify:track:3iw7MEqQ0Dkdvhn9ayqGwl,0.000143,https://api.spotify.com/v1/audio-analysis/3iw7MEqQ0Dkdvhn9ayqGwl,0.446,305120,0.779,3iw7MEqQ0Dkdvhn9ayqGwl,1.1e-05,1,0.128,-5.987,1,0.0389,89.948,4,https://api.spotify.com/v1/tracks/3iw7MEqQ0Dkdvhn9ayqGwl,audio_features,0.186
2,Fury Of The Storm,DragonForce,spotify:track:0B6uxTg34PpMBFhA4fKsAU,3.34e-05,https://api.spotify.com/v1/audio-analysis/0B6uxTg34PpMBFhA4fKsAU,0.234,406827,0.911,0B6uxTg34PpMBFhA4fKsAU,0.258,4,0.344,-5.114,0,0.08,199.846,4,https://api.spotify.com/v1/tracks/0B6uxTg34PpMBFhA4fKsAU,audio_features,0.197
3,Future World,Helloween,spotify:track:0Ble0sg9h6TzEzkXu12T58,0.00236,https://api.spotify.com/v1/audio-analysis/0Ble0sg9h6TzEzkXu12T58,0.477,242800,0.927,0Ble0sg9h6TzEzkXu12T58,1.33e-05,7,0.088,-6.556,1,0.0556,98.273,4,https://api.spotify.com/v1/tracks/0Ble0sg9h6TzEzkXu12T58,audio_features,0.59
4,Watching Over Me,Iced Earth,spotify:track:2MkOHnhporMTayb468HOKi,0.00549,https://api.spotify.com/v1/audio-analysis/2MkOHnhporMTayb468HOKi,0.551,267173,0.853,2MkOHnhporMTayb468HOKi,0.0,6,0.455,-7.813,1,0.0679,129.303,4,https://api.spotify.com/v1/tracks/2MkOHnhporMTayb468HOKi,audio_features,0.263
5,Dark Chest Of Wonders,Nightwish,spotify:track:7guak4whUYm1NWQhFaA1GL,1.28e-05,https://api.spotify.com/v1/audio-analysis/7guak4whUYm1NWQhFaA1GL,0.489,268720,0.879,7guak4whUYm1NWQhFaA1GL,0.255,11,0.0688,-5.729,0,0.0548,94.98,4,https://api.spotify.com/v1/tracks/7guak4whUYm1NWQhFaA1GL,audio_features,0.49
6,I Want Out,Helloween,spotify:track:62WLH2bgiPkguowN1qXV2t,0.000445,https://api.spotify.com/v1/audio-analysis/62WLH2bgiPkguowN1qXV2t,0.483,281680,0.866,62WLH2bgiPkguowN1qXV2t,0.000394,0,0.293,-8.22,1,0.0416,91.008,4,https://api.spotify.com/v1/tracks/62WLH2bgiPkguowN1qXV2t,audio_features,0.624
7,Nemo,Nightwish,spotify:track:2edSHS8PhbiPgLxQhMpMkO,0.000158,https://api.spotify.com/v1/audio-analysis/2edSHS8PhbiPgLxQhMpMkO,0.491,279373,0.744,2edSHS8PhbiPgLxQhMpMkO,0.000102,3,0.325,-6.306,1,0.0351,125.058,4,https://api.spotify.com/v1/tracks/2edSHS8PhbiPgLxQhMpMkO,audio_features,0.375
8,The Haunting (Somewhere In Time),Kamelot,spotify:track:0prDrnVr3uhvY6c40EypIp,0.0006,https://api.spotify.com/v1/audio-analysis/0prDrnVr3uhvY6c40EypIp,0.281,340373,0.844,0prDrnVr3uhvY6c40EypIp,2.99e-05,1,0.202,-7.263,0,0.0575,119.981,4,https://api.spotify.com/v1/tracks/0prDrnVr3uhvY6c40EypIp,audio_features,0.281
9,Paid In Full,Sonata Arctica,spotify:track:7kYQOJLTptA26nhScSRWg2,2.56e-05,https://api.spotify.com/v1/audio-analysis/7kYQOJLTptA26nhScSRWg2,0.515,264385,0.913,7kYQOJLTptA26nhScSRWg2,0.145,1,0.0687,-4.549,0,0.03,95.006,4,https://api.spotify.com/v1/tracks/7kYQOJLTptA26nhScSRWg2,audio_features,0.49
10,Breaking Away,Avantasia,spotify:track:5nyb7qL2xTwOw8L9hjBK3Y,1.47e-05,https://api.spotify.com/v1/audio-analysis/5nyb7qL2xTwOw8L9hjBK3Y,0.512,275533,0.977,5nyb7qL2xTwOw8L9hjBK3Y,1.15e-06,11,0.083,-4.412,1,0.0627,115.328,4,https://api.spotify.com/v1/tracks/5nyb7qL2xTwOw8L9hjBK3Y,audio_features,0.484
11,Reach Out For The Light,Avantasia,spotify:track:13krmwvQmwLsAhRaBCUH2w,1.44e-05,https://api.spotify.com/v1/audio-analysis/13krmwvQmwLsAhRaBCUH2w,0.351,392667,0.961,13krmwvQmwLsAhRaBCUH2w,2.59e-06,1,0.278,-4.334,0,0.0863,152.743,4,https://api.spotify.com/v1/tracks/13krmwvQmwLsAhRaBCUH2w,audio_features,0.228
12,I Have A Right,Sonata Arctica,spotify:track:7ezLp2vGnRv1y38Itlw8Xc,0.00026,https://api.spotify.com/v1/audio-analysis/7ezLp2vGnRv1y38Itlw8Xc,0.44,288467,0.862,7ezLp2vGnRv1y38Itlw8Xc,0.103,8,0.0966,-5.241,0,0.0333,80.011,4,https://api.spotify.com/v1/tracks/7ezLp2vGnRv1y38Itlw8Xc,audio_features,0.457
13,Superheroes,Edguy,spotify:track:25LDQurnePBGshUGEHAGSk,0.00141,https://api.spotify.com/v1/audio-analysis/25LDQurnePBGshUGEHAGSk,0.582,199240,0.925,25LDQurnePBGshUGEHAGSk,0.0,5,0.305,-3.392,1,0.0861,133.065,4,https://api.spotify.com/v1/tracks/25LDQurnePBGshUGEHAGSk,audio_features,0.524
14,Seventh Sign,Yngwie Malmsteen,spotify:track:4hFtf8qzaiSAbS1AkbZCPk,0.00379,https://api.spotify.com/v1/audio-analysis/4hFtf8qzaiSAbS1AkbZCPk,0.385,391533,0.901,4hFtf8qzaiSAbS1AkbZCPk,0.036,8,0.0566,-5.464,0,0.0569,140.848,4,https://api.spotify.com/v1/tracks/4hFtf8qzaiSAbS1AkbZCPk,audio_features,0.411
15,Unbreakable,Stratovarius,spotify:track:1lLhZ1NFcP1A6KSBJQlDan,0.000156,https://api.spotify.com/v1/audio-analysis/1lLhZ1NFcP1A6KSBJQlDan,0.465,277547,0.958,1lLhZ1NFcP1A6KSBJQlDan,0.000111,1,0.117,-4.247,0,0.0418,141.214,4,https://api.spotify.com/v1/tracks/1lLhZ1NFcP1A6KSBJQlDan,audio_features,0.615
16,Hunting High And Low,Stratovarius,spotify:track:1vDJE9fE7FB8proknu3u8E,0.000163,https://api.spotify.com/v1/audio-analysis/1vDJE9fE7FB8proknu3u8E,0.505,248867,0.978,1vDJE9fE7FB8proknu3u8E,0.268,6,0.346,-3.166,0,0.11,93.793,4,https://api.spotify.com/v1/tracks/1vDJE9fE7FB8proknu3u8E,audio_features,0.389
17,Eagleheart,Stratovarius,spotify:track:0wC8UdkflVFiR95fL55Uzd,8.49e-06,https://api.spotify.com/v1/audio-analysis/0wC8UdkflVFiR95fL55Uzd,0.357,230160,0.944,0wC8UdkflVFiR95fL55Uzd,0.000308,8,0.561,-5.327,1,0.0493,199.948,4,https://api.spotify.com/v1/tracks/0wC8UdkflVFiR95fL55Uzd,audio_features,0.496
18,Black Diamond - Remastered 2016,Stratovarius,spotify:track:6v3UX3KGvhYwphqipOO84l,8.82e-05,https://api.spotify.com/v1/audio-analysis/6v3UX3KGvhYwphqipOO84l,0.391,341000,0.991,6v3UX3KGvhYwphqipOO84l,0.0687,1,0.0803,-5.934,0,0.0759,149.863,4,https://api.spotify.com/v1/tracks/6v3UX3KGvhYwphqipOO84l,audio_features,0.236
19,A Million Light Years Away,Stratovarius,spotify:track:0X4zVyBrwcbmNKkbG7tE5Z,1.36e-05,https://api.spotify.com/v1/audio-analysis/0X4zVyBrwcbmNKkbG7tE5Z,0.424,319267,0.932,0X4zVyBrwcbmNKkbG7tE5Z,0.0617,9,0.186,-4.283,1,0.0384,134.982,4,https://api.spotify.com/v1/tracks/0X4zVyBrwcbmNKkbG7tE5Z,audio_features,0.361
20,Destiny (Remastered 2016),Stratovarius,spotify:track:6IYrxDpz2HPRPfPUd0dSwr,0.000162,https://api.spotify.com/v1/audio-analysis/6IYrxDpz2HPRPfPUd0dSwr,0.406,614738,0.917,6IYrxDpz2HPRPfPUd0dSwr,0.0425,3,0.116,-6.906,0,0.0594,120.155,4,https://api.spotify.com/v1/tracks/6IYrxDpz2HPRPfPUd0dSwr,audio_features,0.117
21,4000 Rainy Nights (Remastered 2016),Stratovarius,spotify:track:5Hcs6SnriDmwf3yUUSMxuZ,7.08e-05,https://api.spotify.com/v1/audio-analysis/5Hcs6SnriDmwf3yUUSMxuZ,0.395,359998,0.778,5Hcs6SnriDmwf3yUUSMxuZ,0.463,8,0.0822,-7.576,0,0.0332,76.945,4,https://api.spotify.com/v1/tracks/5Hcs6SnriDmwf3yUUSMxuZ,audio_features,0.19
22,Exceptional,Unisonic,spotify:track:7kYViSgnPLFm4TPPfWedz3,9.88e-05,https://api.spotify.com/v1/audio-analysis/7kYViSgnPLFm4TPPfWedz3,0.468,302480,0.867,7kYViSgnPLFm4TPPfWedz3,0.00361,6,0.143,-5.411,0,0.0474,150.012,4,https://api.spotify.com/v1/tracks/7kYViSgnPLFm4TPPfWedz3,audio_features,0.761
23,Your Time Has Come,Unisonic,spotify:track:6ruhOxyV98u0nHjd4bX5KM,4.68e-05,https://api.spotify.com/v1/audio-analysis/6ruhOxyV98u0nHjd4bX5KM,0.368,303493,0.972,6ruhOxyV98u0nHjd4bX5KM,0.000186,2,0.157,-4.347,1,0.117,155.089,4,https://api.spotify.com/v1/tracks/6ruhOxyV98u0nHjd4bX5KM,audio_features,0.288
24,Final Embrace,Primal Fear,spotify:track:5uDymDjXeyhljat2MbIJff,8.85e-06,https://api.spotify.com/v1/audio-analysis/5uDymDjXeyhljat2MbIJff,0.454,307461,0.981,5uDymDjXeyhljat2MbIJff,7.26e-05,7,0.111,-5.042,1,0.0893,99.278,4,https://api.spotify.com/v1/tracks/5uDymDjXeyhljat2MbIJff,audio_features,0.214
25,Spirit Never Die,Masterplan,spotify:track:6NckTLOMeZFE9sqx4EyisQ,2.59e-05,https://api.spotify.com/v1/audio-analysis/6NckTLOMeZFE9sqx4EyisQ,0.434,326893,0.941,6NckTLOMeZFE9sqx4EyisQ,0.0277,11,0.0833,-4.663,1,0.0849,144.06,4,https://api.spotify.com/v1/tracks/6NckTLOMeZFE9sqx4EyisQ,audio_features,0.251
