,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,Hips Don't Lie (feat. Wyclef Jean),Shakira,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,0.284,https://api.spotify.com/v1/audio-analysis/3ZFTkvIE7kyPt6Nu3PEa7V,0.778,218093,0.824,3ZFTkvIE7kyPt6Nu3PEa7V,0.0,10,0.405,-5.892,0,0.0712,100.024,4,https://api.spotify.com/v1/tracks/3ZFTkvIE7kyPt6Nu3PEa7V,audio_features,0.756
1,Hall of Fame (feat. will.i.am),The Script,spotify:track:7wMq5n8mYSKlQIGECKUgTX,0.0653,https://api.spotify.com/v1/audio-analysis/7wMq5n8mYSKlQIGECKUgTX,0.421,202533,0.873,7wMq5n8mYSKlQIGECKUgTX,0.0,10,0.123,-4.343,1,0.0565,84.803,4,https://api.spotify.com/v1/tracks/7wMq5n8mYSKlQIGECKUgTX,audio_features,0.63
2,Dynamite,Taio Cruz,spotify:track:2CEgGE6aESpnmtfiZwYlbV,0.00379,https://api.spotify.com/v1/audio-analysis/2CEgGE6aESpnmtfiZwYlbV,0.751,202613,0.783,2CEgGE6aESpnmtfiZwYlbV,0.0,4,0.036,-3.724,1,0.0859,119.975,4,https://api.spotify.com/v1/tracks/2CEgGE6aESpnmtfiZwYlbV,audio_features,0.816
3,Girlfriend,Avril Lavigne,spotify:track:5HbCnVLXRyZVxnreOPgJCK,0.000738,https://api.spotify.com/v1/audio-analysis/5HbCnVLXRyZVxnreOPgJCK,0.56,216600,0.959,5HbCnVLXRyZVxnreOPgJCK,0.000206,7,0.209,-2.433,1,0.102,163.983,4,https://api.spotify.com/v1/tracks/5HbCnVLXRyZVxnreOPgJCK,audio_features,0.67
4,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,spotify:track:3bidbhpOYeV4knp8AIu8Xn,0.0291,https://api.spotify.com/v1/audio-analysis/3bidbhpOYeV4knp8AIu8Xn,0.641,258343,0.922,3bidbhpOYeV4knp8AIu8Xn,0.0,2,0.0862,-4.457,1,0.0786,146.078,4,https://api.spotify.com/v1/tracks/3bidbhpOYeV4knp8AIu8Xn,audio_features,0.847
5,Whistle,Flo Rida,spotify:track:3bC1ahPIYt1btJzSSEyyrF,0.0208,https://api.spotify.com/v1/audio-analysis/3bC1ahPIYt1btJzSSEyyrF,0.747,224653,0.937,3bC1ahPIYt1btJzSSEyyrF,0.0,0,0.29,-5.746,1,0.0453,103.976,4,https://api.spotify.com/v1/tracks/3bC1ahPIYt1btJzSSEyyrF,audio_features,0.739
6,Timber (feat. Ke$ha),Pitbull,spotify:track:3cHyrEgdyYRjgJKSOiOtcS,0.0295,https://api.spotify.com/v1/audio-analysis/3cHyrEgdyYRjgJKSOiOtcS,0.581,204160,0.963,3cHyrEgdyYRjgJKSOiOtcS,0.0,11,0.139,-4.087,1,0.0981,129.992,4,https://api.spotify.com/v1/tracks/3cHyrEgdyYRjgJKSOiOtcS,audio_features,0.788
7,Bleeding Love,Leona Lewis,spotify:track:6LtPIXlIzPOTF8vTecYjRe,0.192,https://api.spotify.com/v1/audio-analysis/6LtPIXlIzPOTF8vTecYjRe,0.635,262693,0.647,6LtPIXlIzPOTF8vTecYjRe,0.0,5,0.154,-5.865,1,0.0351,104.054,4,https://api.spotify.com/v1/tracks/6LtPIXlIzPOTF8vTecYjRe,audio_features,0.203
8,When We Were Young,Adele,spotify:track:0cj2joJcY6b4XSRfj2eZOl,0.303,https://api.spotify.com/v1/audio-analysis/0cj2joJcY6b4XSRfj2eZOl,0.377,290900,0.595,0cj2joJcY6b4XSRfj2eZOl,0.0,3,0.095,-5.936,1,0.0489,144.464,4,https://api.spotify.com/v1/tracks/0cj2joJcY6b4XSRfj2eZOl,audio_features,0.264
9,Someone Like You,Adele,spotify:track:6QPKYGnAW9QozVz2dSWqRg,0.893,https://api.spotify.com/v1/audio-analysis/6QPKYGnAW9QozVz2dSWqRg,0.554,285240,0.321,6QPKYGnAW9QozVz2dSWqRg,0.0,9,0.0996,-8.251,1,0.028,135.047,4,https://api.spotify.com/v1/tracks/6QPKYGnAW9QozVz2dSWqRg,audio_features,0.288
10,Set Fire to the Rain,Adele,spotify:track:5PKWUDfQFtc5qqo8cs1gQp,0.00408,https://api.spotify.com/v1/audio-analysis/5PKWUDfQFtc5qqo8cs1gQp,0.603,242974,0.67,5PKWUDfQFtc5qqo8cs1gQp,1.66e-06,2,0.112,-3.882,0,0.0249,107.995,4,https://api.spotify.com/v1/tracks/5PKWUDfQFtc5qqo8cs1gQp,audio_features,0.445
11,Set Fire to the Rain,Adele,spotify:track:5PKWUDfQFtc5qqo8cs1gQp,0.00408,https://api.spotify.com/v1/audio-analysis/5PKWUDfQFtc5qqo8cs1gQp,0.603,242974,0.67,5PKWUDfQFtc5qqo8cs1gQp,1.66e-06,2,0.112,-3.882,0,0.0249,107.995,4,https://api.spotify.com/v1/tracks/5PKWUDfQFtc5qqo8cs1gQp,audio_features,0.445
12,Say Something,A Great Big World,spotify:track:6Vc5wAMmXdKIAM7WUoEb7N,0.857,https://api.spotify.com/v1/audio-analysis/6Vc5wAMmXdKIAM7WUoEb7N,0.407,229400,0.147,6Vc5wAMmXdKIAM7WUoEb7N,2.89e-06,2,0.0913,-8.822,1,0.0355,141.284,3,https://api.spotify.com/v1/tracks/6Vc5wAMmXdKIAM7WUoEb7N,audio_features,0.0765
13,I Gotta Feeling,Black Eyed Peas,spotify:track:4vp2J1l5RD4gMZwGFLfRAu,0.0873,https://api.spotify.com/v1/audio-analysis/4vp2J1l5RD4gMZwGFLfRAu,0.743,289133,0.766,4vp2J1l5RD4gMZwGFLfRAu,0.0,0,0.509,-6.375,1,0.0265,127.96,4,https://api.spotify.com/v1/tracks/4vp2J1l5RD4gMZwGFLfRAu,audio_features,0.61
