,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,Take Me To Church,Hozier,spotify:track:7dS5EaCoMnN7DzlpT6aRn2,0.634,https://api.spotify.com/v1/audio-analysis/7dS5EaCoMnN7DzlpT6aRn2,0.566,241688,0.664,7dS5EaCoMnN7DzlpT6aRn2,0.0,4,0.116,-5.303,0,0.0464,128.945,4,https://api.spotify.com/v1/tracks/7dS5EaCoMnN7DzlpT6aRn2,audio_features,0.437
1,Cooler Than Me - Single Mix,Mike Posner,spotify:track:2V4bv1fNWfTcyRJKmej6Sj,0.179,https://api.spotify.com/v1/audio-analysis/2V4bv1fNWfTcyRJKmej6Sj,0.768,213293,0.82,2V4bv1fNWfTcyRJKmej6Sj,0.0,7,0.704,-4.63,0,0.0475,129.969,4,https://api.spotify.com/v1/tracks/2V4bv1fNWfTcyRJKmej6Sj,audio_features,0.625
2,See You Again (feat. Kali Uchis),"Tyler, The Creator",spotify:track:7KA4W4McWYRpgf0fWsJZWB,0.371,https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB,0.558,180387,0.559,7KA4W4McWYRpgf0fWsJZWB,7.49e-06,6,0.109,-9.222,1,0.0959,78.558,4,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB,audio_features,0.62
3,Hips Don't Lie (feat. Wyclef Jean),Shakira,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,0.284,https://api.spotify.com/v1/audio-analysis/3ZFTkvIE7kyPt6Nu3PEa7V,0.778,218093,0.824,3ZFTkvIE7kyPt6Nu3PEa7V,0.0,10,0.405,-5.892,0,0.0712,100.024,4,https://api.spotify.com/v1/tracks/3ZFTkvIE7kyPt6Nu3PEa7V,audio_features,0.756
4,Hall of Fame (feat. will.i.am),The Script,spotify:track:7wMq5n8mYSKlQIGECKUgTX,0.0653,https://api.spotify.com/v1/audio-analysis/7wMq5n8mYSKlQIGECKUgTX,0.421,202533,0.873,7wMq5n8mYSKlQIGECKUgTX,0.0,10,0.123,-4.343,1,0.0565,84.803,4,https://api.spotify.com/v1/tracks/7wMq5n8mYSKlQIGECKUgTX,audio_features,0.63
5,Girlfriend,Avril Lavigne,spotify:track:5HbCnVLXRyZVxnreOPgJCK,0.000738,https://api.spotify.com/v1/audio-analysis/5HbCnVLXRyZVxnreOPgJCK,0.56,216600,0.959,5HbCnVLXRyZVxnreOPgJCK,0.000206,7,0.209,-2.433,1,0.102,163.983,4,https://api.spotify.com/v1/tracks/5HbCnVLXRyZVxnreOPgJCK,audio_features,0.67
6,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,spotify:track:3bidbhpOYeV4knp8AIu8Xn,0.0291,https://api.spotify.com/v1/audio-analysis/3bidbhpOYeV4knp8AIu8Xn,0.641,258343,0.922,3bidbhpOYeV4knp8AIu8Xn,0.0,2,0.0862,-4.457,1,0.0786,146.078,4,https://api.spotify.com/v1/tracks/3bidbhpOYeV4knp8AIu8Xn,audio_features,0.847
7,Whistle,Flo Rida,spotify:track:3bC1ahPIYt1btJzSSEyyrF,0.0208,https://api.spotify.com/v1/audio-analysis/3bC1ahPIYt1btJzSSEyyrF,0.747,224653,0.937,3bC1ahPIYt1btJzSSEyyrF,0.0,0,0.29,-5.746,1,0.0453,103.976,4,https://api.spotify.com/v1/tracks/3bC1ahPIYt1btJzSSEyyrF,audio_features,0.739
8,Timber (feat. Ke$ha),Pitbull,spotify:track:3cHyrEgdyYRjgJKSOiOtcS,0.0295,https://api.spotify.com/v1/audio-analysis/3cHyrEgdyYRjgJKSOiOtcS,0.581,204160,0.963,3cHyrEgdyYRjgJKSOiOtcS,0.0,11,0.139,-4.087,1,0.0981,129.992,4,https://api.spotify.com/v1/tracks/3cHyrEgdyYRjgJKSOiOtcS,audio_features,0.788
9,Wake Me Up - Radio Edit,Avicii,spotify:track:6g1NlCpW7fgqDnWbCCDrHl,0.0038,https://api.spotify.com/v1/audio-analysis/6g1NlCpW7fgqDnWbCCDrHl,0.532,247427,0.783,6g1NlCpW7fgqDnWbCCDrHl,0.0012,2,0.161,-5.697,1,0.0523,124.08,4,https://api.spotify.com/v1/tracks/6g1NlCpW7fgqDnWbCCDrHl,audio_features,0.643
10,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,spotify:track:4YMqbFcDIFiCBd02PzUBcM,0.0619,https://api.spotify.com/v1/audio-analysis/4YMqbFcDIFiCBd02PzUBcM,0.781,235613,0.526,4YMqbFcDIFiCBd02PzUBcM,0.0,6,0.0457,-6.985,0,0.293,94.992,4,https://api.spotify.com/v1/tracks/4YMqbFcDIFiCBd02PzUBcM,audio_features,0.662
11,Superheroes,The Script,spotify:track:37sINbJZcFdHFAsVNsPq1i,0.00219,https://api.spotify.com/v1/audio-analysis/37sINbJZcFdHFAsVNsPq1i,0.491,245467,0.885,37sINbJZcFdHFAsVNsPq1i,0.0,3,0.0741,-4.121,1,0.0395,166.992,4,https://api.spotify.com/v1/tracks/37sINbJZcFdHFAsVNsPq1i,audio_features,0.641
