,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,Praying,Kesha,spotify:track:0jdny0dhgjUwoIp5GkqEaA,0.489,https://api.spotify.com/v1/audio-analysis/0jdny0dhgjUwoIp5GkqEaA,0.543,230267.0,0.39,0jdny0dhgjUwoIp5GkqEaA,0.0,10.0,0.111,-7.202,1.0,0.0322,73.415,4.0,https://api.spotify.com/v1/tracks/0jdny0dhgjUwoIp5GkqEaA,audio_features,0.303
1,Praying,Kesha,spotify:track:0jdny0dhgjUwoIp5GkqEaA,0.489,https://api.spotify.com/v1/audio-analysis/0jdny0dhgjUwoIp5GkqEaA,0.543,230267.0,0.39,0jdny0dhgjUwoIp5GkqEaA,0.0,10.0,0.111,-7.202,1.0,0.0322,73.415,4.0,https://api.spotify.com/v1/tracks/0jdny0dhgjUwoIp5GkqEaA,audio_features,0.303
2,Praying,Kesha,spotify:track:0jdny0dhgjUwoIp5GkqEaA,0.489,https://api.spotify.com/v1/audio-analysis/0jdny0dhgjUwoIp5GkqEaA,0.543,230267.0,0.39,0jdny0dhgjUwoIp5GkqEaA,0.0,10.0,0.111,-7.202,1.0,0.0322,73.415,4.0,https://api.spotify.com/v1/tracks/0jdny0dhgjUwoIp5GkqEaA,audio_features,0.303
3,Praying,Kesha,spotify:track:0jdny0dhgjUwoIp5GkqEaA,0.489,https://api.spotify.com/v1/audio-analysis/0jdny0dhgjUwoIp5GkqEaA,0.543,230267.0,0.39,0jdny0dhgjUwoIp5GkqEaA,0.0,10.0,0.111,-7.202,1.0,0.0322,73.415,4.0,https://api.spotify.com/v1/tracks/0jdny0dhgjUwoIp5GkqEaA,audio_features,0.303
4,my boy,Billie Eilish,spotify:track:1RGasjWLZ4qMN7wbtkLa3u,0.472,https://api.spotify.com/v1/audio-analysis/1RGasjWLZ4qMN7wbtkLa3u,0.692,170852.0,0.394,1RGasjWLZ4qMN7wbtkLa3u,0.000191,11.0,0.117,-8.745,0.0,0.207,89.936,4.0,https://api.spotify.com/v1/tracks/1RGasjWLZ4qMN7wbtkLa3u,audio_features,0.324
5,...Baby One More Time,Britney Spears,spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,0.202,https://api.spotify.com/v1/audio-analysis/3MjUtNVVq3C8Fn0MP3zhXa,0.759,211067.0,0.699,3MjUtNVVq3C8Fn0MP3zhXa,0.000131,0.0,0.443,-5.745,0.0,0.0307,92.96,4.0,https://api.spotify.com/v1/tracks/3MjUtNVVq3C8Fn0MP3zhXa,audio_features,0.907
6,Centuries,Fall Out Boy,spotify:track:04aAxqtGp5pv12UXAg4pkq,0.00359,https://api.spotify.com/v1/audio-analysis/04aAxqtGp5pv12UXAg4pkq,0.393,228360.0,0.858,04aAxqtGp5pv12UXAg4pkq,0.0,4.0,0.102,-2.868,0.0,0.0729,176.042,4.0,https://api.spotify.com/v1/tracks/04aAxqtGp5pv12UXAg4pkq,audio_features,0.56
7,Afterlife,XYLØ,spotify:track:6VLtWgW0USISy1aFuouqxA,0.109,https://api.spotify.com/v1/audio-analysis/6VLtWgW0USISy1aFuouqxA,0.574,208262.0,0.581,6VLtWgW0USISy1aFuouqxA,0.00037,9.0,0.146,-7.99,0.0,0.0387,76.982,4.0,https://api.spotify.com/v1/tracks/6VLtWgW0USISy1aFuouqxA,audio_features,0.304
8,1985,Bowling For Soup,spotify:track:5oQcOu1omDykbIPSdSQQNJ,0.000242,https://api.spotify.com/v1/audio-analysis/5oQcOu1omDykbIPSdSQQNJ,0.606,193000.0,0.887,5oQcOu1omDykbIPSdSQQNJ,0.0,4.0,0.337,-4.404,1.0,0.0598,119.974,4.0,https://api.spotify.com/v1/tracks/5oQcOu1omDykbIPSdSQQNJ,audio_features,0.903
9,Basket Case,Green Day,spotify:track:6L89mwZXSOwYl76YXfX13s,0.00293,https://api.spotify.com/v1/audio-analysis/6L89mwZXSOwYl76YXfX13s,0.442,181533.0,0.943,6L89mwZXSOwYl76YXfX13s,8.71e-06,3.0,0.091,-3.205,1.0,0.0602,85.064,4.0,https://api.spotify.com/v1/tracks/6L89mwZXSOwYl76YXfX13s,audio_features,0.781
