,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,Thunderstruck,AC/DC,spotify:track:57bgtoPSgt236HzfBOd8kj,0.000147,https://api.spotify.com/v1/audio-analysis/57bgtoPSgt236HzfBOd8kj,0.502,292880,0.89,57bgtoPSgt236HzfBOd8kj,0.0117,4,0.217,-5.175,1,0.0364,133.52,4,https://api.spotify.com/v1/tracks/57bgtoPSgt236HzfBOd8kj,audio_features,0.259
1,Sweet Child O' Mine,Guns N' Roses,spotify:track:4MhTFsyqIJnjsOweVcU8ug,0.141,https://api.spotify.com/v1/audio-analysis/4MhTFsyqIJnjsOweVcU8ug,0.449,356400,0.901,4MhTFsyqIJnjsOweVcU8ug,0.0675,6,0.128,-7.711,1,0.0526,125.148,4,https://api.spotify.com/v1/tracks/4MhTFsyqIJnjsOweVcU8ug,audio_features,0.696
2,Livin' On A Prayer,Bon Jovi,spotify:track:0J6mQxEZnlRt9ymzFntA6z,0.0768,https://api.spotify.com/v1/audio-analysis/0J6mQxEZnlRt9ymzFntA6z,0.534,249293,0.887,0J6mQxEZnlRt9ymzFntA6z,9.93e-05,0,0.325,-3.777,1,0.0345,122.494,4,https://api.spotify.com/v1/tracks/0J6mQxEZnlRt9ymzFntA6z,audio_features,0.72
3,Don't Stop Believin',Journey,spotify:track:77NNZQSqzLNqh2A9JhLRkg,0.25,https://api.spotify.com/v1/audio-analysis/77NNZQSqzLNqh2A9JhLRkg,0.491,248907,0.802,77NNZQSqzLNqh2A9JhLRkg,0.0,4,0.387,-7.106,1,0.0392,119.25,4,https://api.spotify.com/v1/tracks/77NNZQSqzLNqh2A9JhLRkg,audio_features,0.472
4,Wanted Dead Or Alive,Bon Jovi,spotify:track:2fY6tqgrlrg1ky9fgs0t5u,0.137,https://api.spotify.com/v1/audio-analysis/2fY6tqgrlrg1ky9fgs0t5u,0.257,308667,0.803,2fY6tqgrlrg1ky9fgs0t5u,0.0156,7,0.297,-3.886,1,0.0411,150.818,4,https://api.spotify.com/v1/tracks/2fY6tqgrlrg1ky9fgs0t5u,audio_features,0.294
5,Smooth Criminal - Radio Edit,Michael Jackson,spotify:track:2GVYPY8Sv7U7cJkDFu3Ft1,0.156,https://api.spotify.com/v1/audio-analysis/2GVYPY8Sv7U7cJkDFu3Ft1,0.854,257240,0.957,2GVYPY8Sv7U7cJkDFu3Ft1,0.625,8,0.308,-6.07,1,0.0704,118.184,4,https://api.spotify.com/v1/tracks/2GVYPY8Sv7U7cJkDFu3Ft1,audio_features,0.628
6,You Give Love A Bad Name,Bon Jovi,spotify:track:3KYiA4vq6RPO1dE2XROXd8,0.0704,https://api.spotify.com/v1/audio-analysis/3KYiA4vq6RPO1dE2XROXd8,0.537,222707,0.959,3KYiA4vq6RPO1dE2XROXd8,1.8e-06,0,0.382,-3.002,0,0.0557,122.806,4,https://api.spotify.com/v1/tracks/3KYiA4vq6RPO1dE2XROXd8,audio_features,0.828
7,Old Time Rock & Roll,Bob Seger,spotify:track:5EOoMWIB9iK4ZpcSex9Ec7,0.206,https://api.spotify.com/v1/audio-analysis/5EOoMWIB9iK4ZpcSex9Ec7,0.714,194147,0.937,5EOoMWIB9iK4ZpcSex9Ec7,0.0,6,0.0731,-2.947,1,0.0399,124.13,4,https://api.spotify.com/v1/tracks/5EOoMWIB9iK4ZpcSex9Ec7,audio_features,0.964
8,Californication,Red Hot Chili Peppers,spotify:track:48UPSzbZjgc449aqz8bxox,0.0021,https://api.spotify.com/v1/audio-analysis/48UPSzbZjgc449aqz8bxox,0.592,329733,0.767,48UPSzbZjgc449aqz8bxox,0.00165,9,0.127,-2.788,0,0.027,96.483,4,https://api.spotify.com/v1/tracks/48UPSzbZjgc449aqz8bxox,audio_features,0.328
9,Eye of the Tiger,Survivor,spotify:track:2HHtWyy5CgaQbC7XSoOb0e,0.216,https://api.spotify.com/v1/audio-analysis/2HHtWyy5CgaQbC7XSoOb0e,0.815,243773,0.438,2HHtWyy5CgaQbC7XSoOb0e,0.000466,0,0.0787,-14.522,0,0.0346,108.965,4,https://api.spotify.com/v1/tracks/2HHtWyy5CgaQbC7XSoOb0e,audio_features,0.552
10,Highway to Hell,AC/DC,spotify:track:2zYzyRzz6pRmhPzyfMEC8s,0.061,https://api.spotify.com/v1/audio-analysis/2zYzyRzz6pRmhPzyfMEC8s,0.574,208400,0.913,2zYzyRzz6pRmhPzyfMEC8s,0.00158,6,0.156,-4.793,0,0.133,115.728,4,https://api.spotify.com/v1/tracks/2zYzyRzz6pRmhPzyfMEC8s,audio_features,0.423
