,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,Like I Love You,Lost Frequencies,spotify:track:4sh506lJZac1T4o4NqtIuS,0.142,https://api.spotify.com/v1/audio-analysis/4sh506lJZac1T4o4NqtIuS,0.863,190174,0.588,4sh506lJZac1T4o4NqtIuS,3.42e-05,1,0.457,-7.141,1,0.0847,117.911,4,https://api.spotify.com/v1/tracks/4sh506lJZac1T4o4NqtIuS,audio_features,0.751
1,Lost In Japan - Remix,Shawn Mendes,spotify:track:575NJxNUVDqwJGdzBrlLbv,0.0911,https://api.spotify.com/v1/audio-analysis/575NJxNUVDqwJGdzBrlLbv,0.706,201253,0.855,575NJxNUVDqwJGdzBrlLbv,0.0,10,0.347,-5.377,1,0.215,107.184,4,https://api.spotify.com/v1/tracks/575NJxNUVDqwJGdzBrlLbv,audio_features,0.293
2,IDGAF,Dua Lipa,spotify:track:76cy1WJvNGJTj78UqeA5zr,0.0403,https://api.spotify.com/v1/audio-analysis/76cy1WJvNGJTj78UqeA5zr,0.836,217947,0.544,76cy1WJvNGJTj78UqeA5zr,0.0,7,0.0824,-5.975,1,0.0943,97.028,4,https://api.spotify.com/v1/tracks/76cy1WJvNGJTj78UqeA5zr,audio_features,0.51
3,Your Song,Rita Ora,spotify:track:4c2W3VKsOFoIg2SFaO6DY5,0.158,https://api.spotify.com/v1/audio-analysis/4c2W3VKsOFoIg2SFaO6DY5,0.855,180757,0.624,4c2W3VKsOFoIg2SFaO6DY5,0.0,1,0.0513,-4.093,1,0.0488,117.959,4,https://api.spotify.com/v1/tracks/4c2W3VKsOFoIg2SFaO6DY5,audio_features,0.962
4,Issues,Julia Michaels,spotify:track:0xG0SHshCStMEyNbNC5d4k,0.39,https://api.spotify.com/v1/audio-analysis/0xG0SHshCStMEyNbNC5d4k,0.67,176320,0.415,0xG0SHshCStMEyNbNC5d4k,0.0,8,0.0617,-6.855,1,0.0786,114.212,4,https://api.spotify.com/v1/tracks/0xG0SHshCStMEyNbNC5d4k,audio_features,0.445
5,Galway Girl,Ed Sheeran,spotify:track:0afhq8XCExXpqazXczTSve,0.0735,https://api.spotify.com/v1/audio-analysis/0afhq8XCExXpqazXczTSve,0.624,170827,0.876,0afhq8XCExXpqazXczTSve,0.0,9,0.327,-3.374,1,0.1,99.943,4,https://api.spotify.com/v1/tracks/0afhq8XCExXpqazXczTSve,audio_features,0.781
6,She Loves Control,Camila Cabello,spotify:track:5HwnezK198pJCEj1l2Adjy,0.166,https://api.spotify.com/v1/audio-analysis/5HwnezK198pJCEj1l2Adjy,0.65,177160,0.758,5HwnezK198pJCEj1l2Adjy,0.0,2,0.0889,-4.02,1,0.116,94.9,4,https://api.spotify.com/v1/tracks/5HwnezK198pJCEj1l2Adjy,audio_features,0.663
7,Dusk Till Dawn - Radio Edit,ZAYN,spotify:track:1j4kHkkpqZRBwE0A4CN4Yv,0.101,https://api.spotify.com/v1/audio-analysis/1j4kHkkpqZRBwE0A4CN4Yv,0.258,239000,0.437,1j4kHkkpqZRBwE0A4CN4Yv,1.27e-06,11,0.106,-6.593,0,0.039,180.043,4,https://api.spotify.com/v1/tracks/1j4kHkkpqZRBwE0A4CN4Yv,audio_features,0.0967
8,Better Now,Post Malone,spotify:track:7dt6x5M1jzdTEt8oCbisTK,0.331,https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK,0.68,231267,0.578,7dt6x5M1jzdTEt8oCbisTK,0.0,10,0.135,-5.804,1,0.04,145.038,4,https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK,audio_features,0.341
9,Silence,Marshmello,spotify:track:7vGuf3Y35N4wmASOKLUVVU,0.256,https://api.spotify.com/v1/audio-analysis/7vGuf3Y35N4wmASOKLUVVU,0.52,180823,0.761,7vGuf3Y35N4wmASOKLUVVU,4.96e-06,4,0.17,-3.093,1,0.0853,141.971,4,https://api.spotify.com/v1/tracks/7vGuf3Y35N4wmASOKLUVVU,audio_features,0.286
10,Remind Me to Forget,Kygo,spotify:track:5sIx4BlfYGuZeSLF40N9GH,0.193,https://api.spotify.com/v1/audio-analysis/5sIx4BlfYGuZeSLF40N9GH,0.685,217287,0.508,5sIx4BlfYGuZeSLF40N9GH,0.0,0,0.139,-6.4,1,0.0987,99.063,4,https://api.spotify.com/v1/tracks/5sIx4BlfYGuZeSLF40N9GH,audio_features,0.315
11,Ocean (feat. Khalid),Martin Garrix,spotify:track:3nc420PXjTdBV5TN0gCFkS,0.584,https://api.spotify.com/v1/audio-analysis/3nc420PXjTdBV5TN0gCFkS,0.506,216420,0.693,3nc420PXjTdBV5TN0gCFkS,9.58e-05,0,0.0891,-7.265,0,0.0412,139.912,4,https://api.spotify.com/v1/tracks/3nc420PXjTdBV5TN0gCFkS,audio_features,0.221
12,I Miss You (feat. Julia Michaels),Clean Bandit,spotify:track:2xmrfQpmS2iJExTlklLoAL,0.245,https://api.spotify.com/v1/audio-analysis/2xmrfQpmS2iJExTlklLoAL,0.638,205748,0.658,2xmrfQpmS2iJExTlklLoAL,3.77e-06,3,0.0919,-6.318,1,0.0456,105.076,4,https://api.spotify.com/v1/tracks/2xmrfQpmS2iJExTlklLoAL,audio_features,0.33
13,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,spotify:track:4hQ6UGyWQIGJmHSo0J88JW,0.0945,https://api.spotify.com/v1/audio-analysis/4hQ6UGyWQIGJmHSo0J88JW,0.601,207905,0.724,4hQ6UGyWQIGJmHSo0J88JW,1.68e-06,6,0.12,-4.856,1,0.0486,102.061,4,https://api.spotify.com/v1/tracks/4hQ6UGyWQIGJmHSo0J88JW,audio_features,0.508
14,Closer,The Chainsmokers,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,0.414,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,0.748,244960,0.524,7BKLCZ1jbUBVqRi2FVlTVw,0.0,8,0.111,-5.599,1,0.0338,95.01,4,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,audio_features,0.661
15,Be Alright,Dean Lewis,spotify:track:3EPXxR3ImUwfayaurPi3cm,0.697,https://api.spotify.com/v1/audio-analysis/3EPXxR3ImUwfayaurPi3cm,0.553,196373,0.586,3EPXxR3ImUwfayaurPi3cm,0.0,11,0.0813,-6.319,1,0.0362,126.684,4,https://api.spotify.com/v1/tracks/3EPXxR3ImUwfayaurPi3cm,audio_features,0.443
16,Believer,Imagine Dragons,spotify:track:0pqnGHJpmpxLKifKRmU6WP,0.0622,https://api.spotify.com/v1/audio-analysis/0pqnGHJpmpxLKifKRmU6WP,0.776,204347,0.78,0pqnGHJpmpxLKifKRmU6WP,0.0,10,0.081,-4.374,0,0.128,124.949,4,https://api.spotify.com/v1/tracks/0pqnGHJpmpxLKifKRmU6WP,audio_features,0.666
17,Happy Now,Kygo,spotify:track:14sOS5L36385FJ3OL8hew4,0.374,https://api.spotify.com/v1/audio-analysis/14sOS5L36385FJ3OL8hew4,0.693,211362,0.575,14sOS5L36385FJ3OL8hew4,0.0,9,0.252,-6.998,1,0.0801,117.999,4,https://api.spotify.com/v1/tracks/14sOS5L36385FJ3OL8hew4,audio_features,0.492
18,Electricity (with Dua Lipa),Silk City,spotify:track:5N4erncE7kuUccm7zEmwzk,0.0104,https://api.spotify.com/v1/audio-analysis/5N4erncE7kuUccm7zEmwzk,0.588,238173,0.67,5N4erncE7kuUccm7zEmwzk,3.33e-06,0,0.338,-6.439,1,0.0473,118.159,4,https://api.spotify.com/v1/tracks/5N4erncE7kuUccm7zEmwzk,audio_features,0.505
19,Natural,Imagine Dragons,spotify:track:2FY7b99s15jUprqC0M5NCT,0.217,https://api.spotify.com/v1/audio-analysis/2FY7b99s15jUprqC0M5NCT,0.704,189467,0.611,2FY7b99s15jUprqC0M5NCT,0.0,2,0.0812,-6.112,1,0.0409,100.0,4,https://api.spotify.com/v1/tracks/2FY7b99s15jUprqC0M5NCT,audio_features,0.22
20,Shallow,Lady Gaga,spotify:track:2VxeLyX666F8uXCJ0dZF8B,0.371,https://api.spotify.com/v1/audio-analysis/2VxeLyX666F8uXCJ0dZF8B,0.572,215733,0.385,2VxeLyX666F8uXCJ0dZF8B,0.0,7,0.231,-6.362,1,0.0308,95.799,4,https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B,audio_features,0.323
21,High Hopes,Panic! At The Disco,spotify:track:1rqqCSm0Qe4I9rUvWncaom,0.193,https://api.spotify.com/v1/audio-analysis/1rqqCSm0Qe4I9rUvWncaom,0.579,190947,0.904,1rqqCSm0Qe4I9rUvWncaom,0.0,5,0.064,-2.729,1,0.0618,82.014,4,https://api.spotify.com/v1/tracks/1rqqCSm0Qe4I9rUvWncaom,audio_features,0.681
22,Say My Name,David Guetta,spotify:track:0YammaEkYSeo9vQYZ1OwS6,0.137,https://api.spotify.com/v1/audio-analysis/0YammaEkYSeo9vQYZ1OwS6,0.703,198947,0.66,0YammaEkYSeo9vQYZ1OwS6,0.0,10,0.192,-5.119,0,0.123,95.031,4,https://api.spotify.com/v1/tracks/0YammaEkYSeo9vQYZ1OwS6,audio_features,0.79
23,Him & I (with Halsey),G-Eazy,spotify:track:5k38wzpLb15YgncyWdTZE4,0.0534,https://api.spotify.com/v1/audio-analysis/5k38wzpLb15YgncyWdTZE4,0.589,268867,0.731,5k38wzpLb15YgncyWdTZE4,0.0,2,0.308,-6.343,1,0.0868,87.908,4,https://api.spotify.com/v1/tracks/5k38wzpLb15YgncyWdTZE4,audio_features,0.191
24,hate u love u,Olivia O'Brien,spotify:track:6ATgDc6e4sPn84hvJsAmPt,0.656,https://api.spotify.com/v1/audio-analysis/6ATgDc6e4sPn84hvJsAmPt,0.407,175467,0.416,6ATgDc6e4sPn84hvJsAmPt,0.0,6,0.0981,-8.915,0,0.174,176.947,4,https://api.spotify.com/v1/tracks/6ATgDc6e4sPn84hvJsAmPt,audio_features,0.246
25,Consequences - orchestra,Camila Cabello,spotify:track:1ArLnG0bHaHPXqf08sEKM0,0.645,https://api.spotify.com/v1/audio-analysis/1ArLnG0bHaHPXqf08sEKM0,0.547,181913,0.289,1ArLnG0bHaHPXqf08sEKM0,0.0,0,0.148,-8.131,1,0.0348,104.851,3,https://api.spotify.com/v1/tracks/1ArLnG0bHaHPXqf08sEKM0,audio_features,0.213
