,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,Scenario,A Tribe Called Quest,spotify:track:0301nLjG0ti26rx5ZmfqtP,0.112,https://api.spotify.com/v1/audio-analysis/0301nLjG0ti26rx5ZmfqtP,0.795,250133,0.6,0301nLjG0ti26rx5ZmfqtP,0.000171,2,0.111,-14.004,1,0.341,101.78,4,https://api.spotify.com/v1/tracks/0301nLjG0ti26rx5ZmfqtP,audio_features,0.633
1,Milkshake,Kelis,spotify:track:2cMTIlktg3M9mXYqCPqw1J,0.00986,https://api.spotify.com/v1/audio-analysis/2cMTIlktg3M9mXYqCPqw1J,0.881,182627,0.774,2cMTIlktg3M9mXYqCPqw1J,0.0346,1,0.206,-6.068,1,0.0439,112.968,4,https://api.spotify.com/v1/tracks/2cMTIlktg3M9mXYqCPqw1J,audio_features,0.759
2,REMIND ME,Rilès,spotify:track:77FrfkBVqltE3daQKvQlvN,0.0361,https://api.spotify.com/v1/audio-analysis/77FrfkBVqltE3daQKvQlvN,0.843,151013,0.715,77FrfkBVqltE3daQKvQlvN,0.0,1,0.0754,-5.553,0,0.218,90.966,4,https://api.spotify.com/v1/tracks/77FrfkBVqltE3daQKvQlvN,audio_features,0.54
3,Got It,Boys Noize,spotify:track:17zF4zfyb78Cku56d11gkF,0.0289,https://api.spotify.com/v1/audio-analysis/17zF4zfyb78Cku56d11gkF,0.462,192743,0.847,17zF4zfyb78Cku56d11gkF,0.0,1,0.398,-6.85,1,0.518,184.084,4,https://api.spotify.com/v1/tracks/17zF4zfyb78Cku56d11gkF,audio_features,0.66
4,Poppin' Them Thangs,G-Unit,spotify:track:1OKPQF7iS8TVxY4gwvBZ3n,0.261,https://api.spotify.com/v1/audio-analysis/1OKPQF7iS8TVxY4gwvBZ3n,0.768,240800,0.806,1OKPQF7iS8TVxY4gwvBZ3n,0.0,6,0.0785,-1.406,0,0.195,88.024,4,https://api.spotify.com/v1/tracks/1OKPQF7iS8TVxY4gwvBZ3n,audio_features,0.927
5,Bow Down,Westside Connection,spotify:track:667CkwNvTozFtCMDC7BfBU,0.00818,https://api.spotify.com/v1/audio-analysis/667CkwNvTozFtCMDC7BfBU,0.896,207840,0.541,667CkwNvTozFtCMDC7BfBU,0.0,9,0.278,-8.253,1,0.281,92.899,4,https://api.spotify.com/v1/tracks/667CkwNvTozFtCMDC7BfBU,audio_features,0.481
6,In Da Club,50 Cent,spotify:track:7iL6o9tox1zgHpKUfh9vuC,0.255,https://api.spotify.com/v1/audio-analysis/7iL6o9tox1zgHpKUfh9vuC,0.899,193467,0.713,7iL6o9tox1zgHpKUfh9vuC,0.0,6,0.0708,-2.752,0,0.366,90.051,4,https://api.spotify.com/v1/tracks/7iL6o9tox1zgHpKUfh9vuC,audio_features,0.777
7,The Next Episode,Dr. Dre,spotify:track:20LxTsa6936zOlzTWqoPVt,0.0313,https://api.spotify.com/v1/audio-analysis/20LxTsa6936zOlzTWqoPVt,0.92,161600,0.891,20LxTsa6936zOlzTWqoPVt,0.0,3,0.083,-2.398,0,0.253,95.295,4,https://api.spotify.com/v1/tracks/20LxTsa6936zOlzTWqoPVt,audio_features,0.311
8,Down On Me,Jeremih,spotify:track:0wpbHnOW0zVUtV10LSj9c9,0.0369,https://api.spotify.com/v1/audio-analysis/0wpbHnOW0zVUtV10LSj9c9,0.7,228453,0.598,0wpbHnOW0zVUtV10LSj9c9,0.0,2,0.111,-7.783,1,0.114,160.041,4,https://api.spotify.com/v1/tracks/0wpbHnOW0zVUtV10LSj9c9,audio_features,0.594
9,Can I Kick It?,A Tribe Called Quest,spotify:track:3Ti0GdlrotgwsAVBBugv0I,0.173,https://api.spotify.com/v1/audio-analysis/3Ti0GdlrotgwsAVBBugv0I,0.848,251573,0.666,3Ti0GdlrotgwsAVBBugv0I,0.000699,0,0.129,-6.547,1,0.274,96.662,4,https://api.spotify.com/v1/tracks/3Ti0GdlrotgwsAVBBugv0I,audio_features,0.744
